Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,129,371,-2.1,"PAII, ATAI, ARTNA, TK, AMLX"
Financial Services,52,231,-2.5,"TRIN, RAC, CAPN, COPL, CCAQ"
Healthcare,18,55,-2.0,"BLFS, SOLV, OGN, BFRI, RVTY"
Industrials,13,34,-2.3,"SB, MG, CYRX, CSTE, DAC"
Energy,12,17,-0.7,"TRGP, TDW, SM, PR, LPG"
Consumer Cyclical,7,21,-2.2,"CART, HZO, GBTG, AMBP, JILL"
Technology,5,17,-2.8,"IMMR, FLYW, MLAB, RAMP, SLAB"
Real Estate,5,25,-2.7,"UMH, CHMI, SELF, LXP, EFC"
Communication Services,4,17,-2.1,"RDI, MANU, ROKU, ZD, IDT"
Basic Materials,3,5,-1.1,"MAKO, FCX, SXT, SXC, VHI"
Consumer Defensive,3,5,-1.4,"KO, TGT, SENEA, ACU, CCEP"
Utilities,2,11,-2.8,"AWR, YORW, WTRG, MSEX, NWE"
