Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,208,424,-1.6,"WT, ABEO, THC, TCBX, SOUL"
Financial Services,155,292,-1.3,"STT, BFST, BANR, BCAL, ACT"
Healthcare,24,56,-1.6,"BMRN, BLFS, OABI, MASS, CLYM"
Industrials,22,58,-1.8,"OESX, PESI, HEI, MTW, CSTE"
Technology,18,33,-1.5,"AEHR, MLAB, PANW, DGII, ANET"
Communication Services,7,15,-1.3,"BATRK, MSGE, MSGS, LYV, ZD"
Consumer Cyclical,7,30,-2.6,"JRSH, DRI, EXPE, HBB, PKG"
Energy,5,16,-2.5,"XPRO, TDW, PSX, SMC, DK"
Real Estate,5,21,-2.6,"SKYH, EFC, UMH, LXP, CHMI"
Basic Materials,3,10,-1.9,"MAKO, RS, AVNT, NUE, SXT"
Consumer Defensive,3,9,-2.4,"TGT, SENEA, ACU, KO, SPB"
Utilities,0,8,-3.3,"AWR, WTRG, YORW, TXNM, NWE"
