Ticker,Price,52W_High,Pct_From_52W_High,Sector
AEHR,129.23,129.23,0.0,Technology
XPRO,18.41,18.41,0.0,Energy
WT,22.73,22.73,0.0,Unknown
ABEO,7.46,7.46,0.0,Unknown
TDW,91.61,91.61,0.0,Energy
TGT,154.0,154.0,0.0,Consumer Defensive
THC,266.79,266.79,0.0,Unknown
STT,190.11,190.11,0.0,Financial Services
TCBX,45.5,45.5,0.0,Unknown
SOUL,10.41,10.41,0.0,Unknown
SPHR,175.09,175.09,0.0,Unknown
SSB,110.36,110.38,-0.0,Unknown
BMRN,70.24,70.24,0.0,Healthcare
BOKF,144.78,144.78,0.0,Unknown
BFC,156.95,156.95,0.0,Unknown
BFST,32.18,32.18,0.0,Financial Services
BLFS,34.97,34.97,0.0,Healthcare
BANR,73.42,73.42,0.0,Financial Services
BATRK,53.0,53.0,0.0,Communication Services
BCAL,21.8,21.8,0.0,Financial Services
ATRO,87.89,87.89,0.0,Unknown
ACT,49.38,49.38,0.0,Financial Services
AXGN,49.67,49.67,0.0,Unknown
BANL,6.09,6.09,0.0,Unknown
SKYH,11.49,11.49,0.0,Real Estate
ACAD,29.45,29.45,0.0,Unknown
RVT,18.85,18.85,0.0,Financial Services
MAGH,6.76,6.76,0.0,Unknown
MAKO,9.99,9.99,0.0,Basic Materials
NWFL,34.5,34.5,0.0,Financial Services
OABI,3.42,3.42,0.0,Healthcare
OBA,10.29,10.29,0.0,Unknown
OBT,38.94,38.94,0.0,Unknown
NRIX,26.63,26.63,0.0,Unknown
NSIT,154.67,154.74,-0.0,Unknown
MLAB,112.8,112.8,0.0,Technology
MASS,10.02,10.02,0.0,Healthcare
MBVI,10.2,10.2,0.0,Unknown
MCHB,17.17,17.17,-0.0,Financial Services
LPBB,10.78,10.78,0.0,Financial Services
LQDT,43.11,43.11,0.0,Unknown
OYSE,10.34,10.34,0.0,Unknown
PACH,10.28,10.29,-0.0,Financial Services
OESX,20.59,20.59,0.0,Industrials
ORIQ,10.37,10.37,0.0,Unknown
ORKA,107.4,107.4,0.0,Unknown
MRX,71.13,71.13,0.0,Unknown
MFIN,11.2,11.2,0.0,Unknown
JRSH,5.43,5.43,0.0,Consumer Cyclical
KCHV,10.43,10.43,0.0,Unknown
PDLB,20.68,20.68,0.0,Financial Services
PEBK,44.84,44.84,0.0,Financial Services
PESI,19.43,19.43,0.0,Industrials
PANW,387.01,387.01,0.0,Technology
PAYS,12.8,12.8,0.0,Unknown
CFFI,88.62,88.64,-0.0,Financial Services
IEX,240.52,240.52,0.0,Unknown
HPE,58.79,58.79,0.0,Unknown
HRB,54.18,54.18,0.0,Unknown
HEI,373.1,373.1,0.0,Industrials
HP,42.97,42.97,0.0,Unknown
HAE,91.34,91.34,0.0,Unknown
CLDX,44.87,44.87,0.0,Unknown
CLMT,47.19,47.19,0.0,Unknown
CLYM,14.39,14.39,0.0,Healthcare
CHCO,147.22,147.22,0.0,Financial Services
CHMG,83.17,83.17,0.0,Financial Services
CLBK,11.65,11.65,0.0,Financial Services
LH,323.48,323.48,0.0,Unknown
JPM,365.18,365.18,0.0,Financial Services
IMAX,51.32,51.32,0.0,Unknown
ING,35.61,35.61,0.0,Unknown
CRAQ,10.35,10.35,0.0,Unknown
CRNX,84.46,84.46,0.0,Unknown
MTW,20.16,20.16,0.0,Industrials
MLR,56.6,56.6,0.0,Unknown
MMM,183.78,183.78,0.0,Unknown
MPC,348.25,348.25,0.0,Unknown
MRK,132.92,132.92,0.0,Unknown
MFG,10.81,10.81,0.0,Unknown
KNTK,51.25,51.27,-0.0,Unknown
CSTE,3.0,3.0,0.0,Industrials
CZFS,82.95,82.95,0.0,Financial Services
CZNC,25.95,25.95,0.0,Unknown
COPL,10.5,10.5,0.0,Financial Services
CPAY,409.68,409.68,0.0,Unknown
EHLD,9.2,9.2,0.0,Unknown
DXCM,90.8,90.8,0.0,Unknown
ECBK,20.82,20.82,0.0,Unknown
DGII,85.24,85.24,0.0,Technology
DMAA,10.71,10.71,0.0,Unknown
ETN,459.96,459.96,0.0,Industrials
EAT,245.89,245.89,0.0,Unknown
EFC,13.62,13.62,0.0,Real Estate
DRI,227.68,227.68,0.0,Consumer Cyclical
DCO,201.39,201.46,-0.0,Industrials
DELL,484.5,484.5,0.0,Unknown
GENC,18.05,18.05,0.0,Industrials
GGT,4.25,4.25,0.0,Financial Services
GKOS,186.63,186.63,0.0,Unknown
GAM,67.47,67.47,0.0,Financial Services
ETO,32.18,32.18,0.0,Financial Services
EXPD,184.47,184.47,0.0,Industrials
FBK,62.05,62.05,0.0,Unknown
BAC,64.81,64.81,0.0,Financial Services
ASB,32.13,32.13,0.0,Financial Services
ATI,230.43,230.43,0.0,Unknown
AMP,565.07,565.07,0.0,Unknown
ANET,210.5,210.5,0.0,Technology
FRAF,64.16,64.16,0.0,Unknown
FRBA,18.95,18.95,0.0,Unknown
FCBC,49.01,49.01,0.0,Financial Services
FCNCA,2271.31,2271.31,0.0,Unknown
FDBC,55.45,55.45,0.0,Financial Services
ESQ,132.88,132.92,-0.0,Financial Services
EXPE,325.57,325.57,0.0,Consumer Cyclical
BMO,183.57,183.57,0.0,Unknown
BNS,90.33,90.33,0.0,Unknown
BNY,162.93,162.93,0.0,Financial Services
BBVA,28.5,28.5,0.0,Financial Services
BDX,183.58,183.58,0.0,Healthcare
FMAO,35.14,35.14,0.0,Financial Services
FMNB,16.15,16.15,0.0,Financial Services
FNLC,35.65,35.66,-0.0,Financial Services
CRL,284.37,284.37,0.0,Unknown
CMBT,16.75,16.75,0.0,Unknown
CNS,84.82,84.82,0.0,Financial Services
CON,34.54,34.54,0.0,Unknown
CFG,73.91,73.92,-0.0,Financial Services
CACI,680.08,680.08,0.0,Technology
CBNA,48.5,48.5,0.0,Unknown
BIO,362.08,362.08,0.0,Healthcare
TWIN,24.58,24.58,0.0,Unknown
TWST,125.21,125.21,0.0,Unknown
TXRH,214.28,214.28,0.0,Unknown
UEIC,5.88,5.88,0.0,Technology
TRNS,97.76,97.76,0.0,Industrials
TSBK,45.99,45.99,0.0,Financial Services
TTRX,10.54,10.54,0.0,Healthcare
FRST,16.59,16.59,0.0,Financial Services
UYSC,10.78,10.78,0.0,Unknown
VCTR,116.23,116.23,0.0,Financial Services
VNME,10.27,10.27,0.0,Financial Services
UMBF,149.45,149.45,0.0,Financial Services
UNTY,61.6,61.6,0.0,Financial Services
URGN,49.0,49.0,0.0,Unknown
VSEC,242.6,242.6,0.0,Industrials
GTEN,10.7,10.7,0.0,Financial Services
GCBC,35.29,35.29,0.0,Financial Services
FRD,44.95,44.95,0.0,Unknown
ANRO,29.18,29.18,0.0,Unknown
AAMI,92.19,92.19,0.0,Unknown
XNCR,23.18,23.18,0.0,Unknown
WSBC,42.39,42.39,0.0,Financial Services
WSBF,21.0,21.0,0.0,Financial Services
WTBA,29.52,29.52,0.0,Financial Services
SEIC,105.54,105.54,0.0,Financial Services
SENEA,188.37,188.37,0.0,Consumer Defensive
