Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
BTSG,"BrightSpring Health Services, Inc. - Common Stock",70.69,97.4,-1.2,63.1,48.62,44.58,71.58,19.36
XMTR,"Xometry, Inc. - Class A Common Stock",98.54,97.3,-0.1,89.14,64.9,62.38,98.68,30.97
APGE,"Apogee Therapeutics, Inc. - Common Stock",134.0,97.3,-0.2,102.39,85.13,78.45,134.29,34.65
KORE,"KORE Group Holdings, Inc. Common Stock",9.26,97.2,-5.4,9.21,7.6,6.61,9.79,2.11
DAVE,Dave Inc.  - Class A Common Stock,440.42,97.2,-0.5,306.67,239.88,233.86,442.53,155.92
ZNTL,"Zentalis Pharmaceuticals, Inc. - common stock",5.11,97.1,-22.7,4.12,3.22,2.78,6.61,1.28
SEZL,Sezzle Inc. - Common Stock,174.67,97.1,-7.4,137.17,92.5,86.29,188.55,50.97
CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",83.86,97.0,-0.1,44.87,44.19,43.98,83.91,26.85
TVTX,"Travere Therapeutics, Inc. - Common Stock",56.71,97.0,-3.9,50.46,38.67,36.81,59.03,15.32
GLUE,"Monte Rosa Therapeutics, Inc. - Common Stock",24.56,96.9,-3.0,20.15,19.14,17.46,25.31,4.19
CDNA,"CareDx, Inc. - Common Stock",39.73,96.9,-1.5,24.95,21.11,19.8,40.34,11.57
FTRE,Fortrea Holdings Inc. - Common Stock,17.76,96.6,-3.5,16.02,13.9,13.16,18.4,4.66
LFST,"LifeStance Health Group, Inc. - Common Stock",11.58,96.6,0.0,8.93,7.6,7.14,11.58,3.79
HPE,Hewlett Packard Enterprise Company Common Stock,45.82,96.5,-18.2,42.88,29.89,28.17,55.99,19.41
ALXO,ALX Oncology Holdings Inc. - Common Stock,2.1,96.5,-19.2,1.89,1.82,1.76,2.6,0.48
FROG,JFrog Ltd. - Ordinary shares,88.54,96.4,-9.7,80.3,60.85,59.09,98.1,34.75
PANW,"Palo Alto Networks, Inc. - Common Stock",358.68,96.4,0.0,283.88,209.23,208.42,358.68,141.67
CLMT,"Calumet, Inc - Common Stock",42.83,96.3,0.0,35.14,29.53,26.9,42.83,13.23
PBF,PBF Energy Inc. Class A Common Stock,62.75,96.3,0.0,44.4,39.29,37.64,62.75,20.96
BWEN,"Broadwind, Inc. - Common Stock",4.82,96.2,-5.3,4.09,3.15,2.98,5.09,1.97
HNGE,"Hinge Health, Inc. Class A Common Stock",87.09,96.2,-3.2,68.13,51.17,50.42,90.0,31.17
DK,"Delek US Holdings, Inc. Common Stock",63.25,96.1,0.0,48.25,40.35,39.36,63.25,19.43
FTNT,"Fortinet, Inc. - Common Stock",161.61,96.1,-3.1,141.84,101.57,97.06,166.83,74.39
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,6.84,96.1,-12.3,5.84,4.45,4.02,7.8,1.9
MOV,Movado Group Inc. Common Stock,38.65,96.0,-2.8,34.77,27.3,25.03,39.78,14.22
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",53.2,96.0,0.0,44.11,34.6,31.15,53.2,15.14
EWTX,"Edgewise Therapeutics, Inc. - Common Stock",39.76,95.9,-17.8,37.11,31.7,28.5,48.35,12.68
INNV,InnovAge Holding Corp. - Common Stock,11.5,95.9,-5.0,9.09,7.91,7.22,12.11,3.13
CVLG,"Covenant Logistics Group, Inc. Class A Common Stock",47.34,95.8,-1.8,41.4,31.87,28.98,48.21,17.94
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",5.0,95.7,-7.6,4.03,3.47,3.16,5.41,1.81
TIGO,Millicom International Cellular S.A. - Common Stock,98.34,95.7,0.0,87.23,72.94,66.42,98.34,35.78
FRD,Friedman Industries Inc. - Common Stock,34.09,95.6,-8.9,28.32,22.24,21.78,37.42,14.83
AVTX,"Avalo Therapeutics, Inc. - Common Stock",19.37,95.6,-15.3,17.18,16.28,16.27,22.87,5.66
KFRC,"Kforce, Inc. Common Stock",58.56,95.5,-0.3,47.05,36.28,34.19,58.71,23.68
CLOV,"Clover Health Investments, Corp.  - Class A Common stock",4.62,95.4,-14.6,4.28,2.93,2.89,5.41,1.7
VCYT,"Veracyte, Inc. - Common Stock",59.13,95.3,-2.2,50.08,41.29,40.84,60.49,23.03
BOLD,"Boundless Bio, Inc. - Common Stock",2.48,95.3,-4.6,1.83,1.43,1.39,2.6,1.05
CVV,CVD Equipment Corporation - Common Stock,7.12,95.3,-12.3,6.78,5.14,4.75,8.12,2.77
LCUT,"Lifetime Brands, Inc. - Common Stock",8.52,95.3,-9.1,8.29,5.77,5.21,9.37,2.92
OKTA,"Okta, Inc. - Class A Common Stock",149.35,95.3,-3.4,116.03,93.24,91.62,154.62,62.93
