Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
CCG,Cheche Group Inc. - Class A Ordinary Shares,13.2,100.0,-23.3,11.21,4.19,3.36,17.21,0.37
MGRT,Mega Fortune Company Limited - Ordinary Shares,120.7,100.0,-15.1,94.08,72.47,56.01,142.2,3.52
NFE,New Fortress Energy Inc. - Class A Common Stock,16.48,100.0,0.0,2.42,1.49,1.47,16.48,0.33
SFWL,Shengfeng Development Limited - Class A Ordinary Shares,9.48,99.9,-13.1,1.22,1.01,1.0,10.91,0.69
XHLD,"TEN Holdings, Inc. - Common Stock",10.84,99.8,0.0,4.56,2.53,2.37,10.84,0.8
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",13.49,99.7,-12.7,12.77,8.3,6.99,15.46,1.39
CLYM,"Climb Bio, Inc. - Common Stock",14.95,99.6,-16.2,14.17,10.65,8.91,17.84,1.64
FTH,"Faeth Therapeutics, Inc.  - Common Stock",39.0,99.6,-2.6,30.72,26.33,22.14,40.05,7.89
MRNA,"Moderna, Inc. - Common Stock",136.62,99.6,-21.7,89.61,63.9,56.53,174.38,22.36
TXG,"10x Genomics, Inc. - Common Stock",66.38,99.5,-1.4,52.61,33.35,29.7,67.29,11.34
MU,"Micron Technology, Inc. - Common Stock",977.41,99.5,-19.4,929.74,721.91,618.09,1213.37,139.78
TWST,Twist Bioscience Corporation - Common Stock,126.85,99.5,-17.1,112.5,76.39,66.27,153.1,24.16
ANRO,"Alto Neuroscience, Inc. Common Stock",31.68,99.4,-13.5,30.31,24.69,22.54,36.64,3.56
PLSE,"Pulse Biosciences, Inc - Common Stock",54.43,99.4,-0.5,39.38,28.19,24.67,54.71,12.66
ANTX,"AN2 Therapeutics, Inc. - Common Stock",5.69,99.3,-9.4,5.35,4.22,3.45,6.28,1.03
DELL,Dell Technologies Inc. Class C Common Stock ,506.62,99.3,-5.3,445.88,303.74,258.92,535.25,110.54
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",57.88,99.2,-10.2,49.09,33.22,28.9,64.43,14.35
NVCT,"Nuvectis Pharma, Inc. - Common Stock",22.49,99.2,-21.2,20.9,13.78,12.26,28.53,5.65
CDNA,"CareDx, Inc. - Common Stock",50.02,99.1,-4.5,41.99,27.64,25.58,52.36,13.33
TOP,TOP Financial Group Limited - Class A Ordinary Shares,14.94,99.1,-10.7,12.19,7.31,6.8,16.73,3.11
TJGC,TJGC Group Limited - Class A Ordinary Shares,10.67,99.0,0.0,5.76,4.37,4.04,10.67,1.5
QMCO,Quantum Corporation - Common Stock,23.03,99.0,-11.8,16.27,10.75,9.93,26.11,4.31
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",8.14,98.9,-9.5,6.15,4.53,4.02,8.99,1.81
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,14.44,98.9,-3.9,13.47,10.07,8.95,15.03,3.47
PAYS,"Paysign, Inc. - Common Stock",13.34,98.9,-5.7,10.97,7.35,6.74,14.14,3.18
RVMD,"Revolution Medicines, Inc. - Common Stock",203.35,98.8,-8.0,197.92,151.29,136.09,221.15,40.45
LITE,Lumentum Holdings Inc. - Common Stock,935.7,98.8,-11.1,823.92,809.88,695.99,1053.09,149.61
SAIH,SAIHEAT Limited - Class A Ordinary Shares,23.64,98.7,-9.8,18.8,12.68,11.65,26.22,5.93
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",32.09,98.7,-19.1,25.1,18.35,17.15,39.66,11.38
CSTE,Caesarstone Ltd. - Ordinary Shares,3.18,98.7,-10.7,2.69,1.91,1.9,3.56,0.62
RCEL,"Avita Medical, Inc. - Common Stock",9.86,98.6,-12.0,7.05,5.25,4.85,11.2,3.27
IMMX,"Immix Biopharma, Inc. - Common Stock",12.7,98.6,-12.2,11.17,9.73,8.64,14.47,1.96
STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),862.33,98.5,-21.1,849.91,699.41,602.32,1093.26,191.46
BOLD,"Boundless Bio, Inc. - Common Stock",2.84,98.4,-5.3,2.68,1.82,1.66,3.0,1.05
ETS,Elite Express Holding Inc. - Class A Common Stock,1.39,98.4,0.0,0.99,0.71,0.67,1.39,0.43
NCEW,New Century Logistics (BVI) Limited - Ordinary Shares,18.93,98.3,-8.6,16.96,14.75,12.53,20.7,3.01
CLMT,"Calumet, Inc - Common Stock",56.44,98.3,0.0,44.91,36.17,32.19,56.44,17.39
OMER,Omeros Corporation - Common Stock,18.59,98.2,-4.1,14.08,12.46,12.3,19.39,4.03
TORO,Toro Corp. - Common stock,6.78,98.1,0.0,5.53,4.71,4.32,6.78,1.71
