Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,128,279,-1.8,"ALDF, TK, AOUT, QUMS, PBAM"
Financial Services,74,221,-2.1,"ALIS, PACH, PFIS, RANG, RDAG"
Energy,11,18,-1.2,"NAT, PBF, LPG, INSW, DK"
Healthcare,8,24,-2.3,"PHVS, MCTA, GTBP, GRDN, IRD"
Industrials,6,19,-2.4,"ETS, DAC, ECO, EXPD, ATKR"
Technology,6,14,-1.9,"SAIC, OST, HPQ, AVT, SLAB"
Communication Services,5,7,-0.9,"VZ, TJGC, IDT, DV, ZD"
Consumer Cyclical,3,7,-1.9,"JILL, GBTG, HZO, CZR, BZH"
Basic Materials,2,4,-1.5,"MNTK, GGB, VHI, MEOH"
Real Estate,1,5,-3.1,"LXP, IHS, CHMI, PDM, NREF"
Utilities,1,6,-2.7,"GNE, WTRG, TXNM, AWK, YORW"
Consumer Defensive,0,3,-4.5,"KO, SPB, ACU"
