Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
BANL,CBL International Limited - Class B Ordinary Shares,10.35,100.0,-5.3,2.36,1.11,0.94,10.93,0.29
CCG,Cheche Group Inc. - Class A Ordinary Shares,16.99,100.0,-0.1,5.5,2.34,1.99,17.01,0.37
SNDK,Sandisk Corporation - Common Stock When-Issued,1786.85,99.8,-23.5,1656.17,1135.4,911.29,2335.0,44.4
CLYM,"Climb Bio, Inc. - Common Stock",17.44,99.7,0.0,12.73,9.32,7.67,17.44,1.64
ERAS,"Erasca, Inc. - Common Stock",18.28,99.6,-18.6,17.17,14.56,11.7,22.47,1.43
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",13.0,99.6,-15.9,11.2,7.19,5.94,15.45,1.39
FBRX,"Forte Biosciences, Inc.  - Common Stock",76.89,99.5,-0.1,43.14,32.93,29.63,76.98,10.3
AEHR,Aehr Test Systems - Common Stock,145.61,99.5,0.0,94.01,69.6,57.95,145.61,17.38
ANRO,"Alto Neuroscience, Inc. Common Stock",33.6,99.4,0.0,25.88,22.48,20.58,33.6,3.12
ORKA,"Oruka Therapeutics, Inc. - Common Stock",112.66,99.4,0.0,87.82,61.26,53.2,112.66,14.4
ANTX,"AN2 Therapeutics, Inc. - Common Stock",5.73,99.4,-8.8,4.97,3.67,3.04,6.28,1.03
BFLY,"Butterfly Network, Inc. Class A Common Stock",9.02,99.3,-7.0,7.46,5.28,4.72,9.7,1.38
MU,"Micron Technology, Inc. - Common Stock",1011.75,99.3,-16.6,960.97,657.17,556.39,1213.37,115.6
STTK,"Shattuck Labs, Inc. - Common Stock",7.39,99.2,-6.7,6.38,5.88,5.08,7.92,0.86
QMCO,Quantum Corporation - Common Stock,24.92,99.2,-4.6,12.92,8.92,8.67,26.11,4.31
BLZE,"Backblaze, Inc. - Common Stock",19.39,99.1,-5.1,13.85,7.86,7.27,20.43,3.31
TXG,"10x Genomics, Inc. - Common Stock",57.99,99.1,-1.0,42.23,28.57,25.59,58.57,11.34
SYRE,"Spyre Therapeutics, Inc. - Common Stock",104.6,99.1,-0.7,94.28,66.1,56.8,105.33,14.82
PRLD,Prelude Therapeutics Incorporated - Common Stock,5.63,99.0,-1.7,4.53,3.77,3.3,5.73,0.87
LITE,Lumentum Holdings Inc. - Common Stock,968.9,99.0,-8.0,814.16,750.28,639.46,1053.09,115.86
YARW,"Yarrow Bioscience, Inc. - Common Stock",41.4,99.0,-3.2,24.97,19.85,17.91,42.77,8.1
TWST,Twist Bioscience Corporation - Common Stock,124.41,99.0,-0.7,93.71,65.22,56.78,125.29,24.16
RLAY,"Relay Therapeutics, Inc. - Common Stock",20.67,98.9,-0.4,18.13,13.5,12.0,20.75,3.39
MAAS,Maase Inc. - Class A Ordinary Shares,16.88,98.9,-20.5,16.27,10.28,8.78,21.24,2.86
DELL,Dell Technologies Inc. Class C Common Stock ,479.81,98.9,-3.0,422.88,263.3,230.67,494.51,110.54
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",61.73,98.8,0.0,39.22,27.84,25.1,61.73,14.35
FTH,"Faeth Therapeutics, Inc.  - Common Stock",32.77,98.8,-9.4,24.57,23.38,19.81,36.16,7.5
STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),994.79,98.8,-9.0,890.27,645.67,553.26,1093.26,153.17
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,7.68,98.7,-3.5,5.58,3.95,3.54,7.96,1.47
DMRA,"Damora Therapeutics, Inc. - Ordinary Shares",31.09,98.7,-8.9,27.1,26.13,24.81,34.14,2.58
RVMD,"Revolution Medicines, Inc. - Common Stock",212.0,98.7,0.0,180.8,139.17,122.84,212.0,35.67
MBX,"MBX Biosciences, Inc. - Common Stock",68.25,98.6,-3.5,55.1,40.7,37.58,70.7,9.74
APPS,"Digital Turbine, Inc. - Common Stock",12.24,98.6,-14.9,10.36,6.34,6.05,14.39,2.82
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",114.86,98.6,-0.9,97.35,80.59,70.47,115.96,20.25
CDNA,"CareDx, Inc. - Common Stock",46.38,98.5,-3.1,33.23,24.15,22.54,47.85,11.57
ROMA,Roma Green Finance Limited - Class A Ordinary Shares,9.0,98.5,-13.0,8.53,5.98,5.08,10.34,1.3
RRGB,"Red Robin Gourmet Burgers, Inc. - Common Stock",10.59,98.4,0.0,7.05,4.89,4.73,10.59,2.59
PAYS,"Paysign, Inc. - Common Stock",13.0,98.4,-1.3,8.95,6.34,6.06,13.17,3.18
ABSI,Absci Corporation - Common Stock,9.24,98.4,-20.5,8.78,5.36,4.89,11.62,2.3
ALOT,"AstroNova, Inc. - Common Stock",28.89,98.3,-0.2,26.66,16.3,14.3,28.95,7.01
MKDW,MKDWELL Tech Inc. - Ordinary Shares,11.69,98.3,-2.6,10.87,7.0,6.66,12.0,1.95
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,14.15,98.3,-2.4,11.94,9.23,8.04,14.5,3.06
RLYB,Rallybio Corporation - Common Stock,17.0,98.3,0.0,16.11,11.37,9.89,17.0,3.99
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",11.74,98.3,-12.3,9.77,7.86,6.87,13.39,2.28
GLBS,Globus Maritime Limited - Common Stock,3.67,98.2,-1.3,2.92,2.26,2.06,3.72,1.01
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",7.1,98.2,0.0,4.72,3.88,3.5,7.1,1.81
IMMX,"Immix Biopharma, Inc. - Common Stock",11.34,98.1,-5.7,9.58,8.76,7.76,12.02,1.96
FRD,Friedman Industries Inc. - Common Stock,48.08,98.1,0.0,35.05,24.7,23.61,48.08,16.77
NDLS,Noodles & Company - Class A Common Stock,17.5,98.1,-6.0,14.46,10.22,9.11,18.62,3.9
NESR,National Energy Services Reunited Corp - Ordinary Shares,35.78,98.1,-1.5,27.83,24.35,21.84,36.31,6.89
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,263.73,98.0,-16.8,244.48,200.52,177.37,316.85,46.87
UMAC,"Unusual Machines, Inc. Common Stock",30.15,98.0,-11.5,22.43,18.11,16.37,34.06,7.76
TOP,TOP Financial Group Limited - Class A Ordinary Shares,11.37,98.0,-19.1,9.23,6.15,5.98,14.05,3.11
NBIS,Nebius Group N.V. - Class A Ordinary Shares,268.85,97.9,-6.2,222.42,164.24,147.19,286.69,64.06
PLSE,"Pulse Biosciences, Inc - Common Stock",46.79,97.8,0.0,31.21,24.12,21.69,46.79,12.66
SAIH,SAIHEAT Limited - Class A Ordinary Shares,19.84,97.8,-11.8,14.48,10.81,10.18,22.5,5.65
FSLY,"Fastly, Inc. - Class A Common Stock",29.04,97.8,-13.3,20.78,20.16,17.74,33.5,6.95
SLGL,Sol-Gel Technologies Ltd. - Ordinary Shares,83.01,97.7,-15.3,78.28,75.28,66.34,97.97,15.25
PENG,"Penguin Solutions, Inc. - Common Stock",63.08,97.7,-22.5,62.42,39.23,34.53,81.39,16.24
FET,"Forum Energy Technologies, Inc. Common Stock",86.31,97.6,0.0,57.21,55.32,49.78,86.31,23.13
CSTE,Caesarstone Ltd. - Ordinary Shares,3.43,97.6,-0.3,2.21,1.8,1.71,3.44,0.62
HPE,Hewlett Packard Enterprise Company Common Stock,57.61,97.5,-3.7,48.57,33.73,31.03,59.82,19.72
VSXY,Victorias Secret & Co. Common Stock ,84.1,97.5,-15.9,83.78,63.98,59.41,99.97,21.34
