Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,116,315,-2.1,"AFRI, YCY, TISI, ZETA, ALDF"
Financial Services,55,164,-2.2,"KFII, CPBI, COPL, LATA, RAC"
Energy,10,20,-1.3,"SM, PSX, SMC, HLX, INSW"
Healthcare,10,36,-2.4,"APGE, MCTA, EOLS, PFE, OGN"
Industrials,8,20,-1.9,"DE, SB, CIX, ECO, ATKR"
Technology,5,15,-2.1,"DHX, HPQ, MSI, RAMP, SLAB"
Consumer Cyclical,2,9,-2.6,"GBTG, HZO, JRSH, PAG, CZR"
Communication Services,2,11,-2.3,"VZ, TJGC, ZD, IDT, NWSA"
Real Estate,2,14,-3.3,"CHMI, LXP, AHR, DEA, UMH"
Consumer Defensive,2,9,-3.2,"SENEA, ACU, HNST, TGT, CCEP"
Utilities,1,9,-2.7,"WTRG, YORW, TXNM, AWR, AWK"
Basic Materials,0,4,-2.4,"SXC, SXT, CTVA, VHI"
