Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,142,397,-2.1,"BSVN, AXGN, BLZR, ALOT, ALDF"
Financial Services,72,223,-2.2,"BLUW, VCTR, MKLY, LPBB, DRDB"
Healthcare,19,53,-1.9,"BIIB, MASS, MCTA, RVMD, RGEN"
Technology,14,24,-1.7,"AMPL, MLAB, CHYM, CCSI, FIVN"
Industrials,11,36,-2.3,"OESX, ECO, EXPD, GIC, ATKR"
Communication Services,6,18,-2.5,"NWSA, RDI, NWS, TJGC, ZD"
Real Estate,4,18,-2.8,"LXP, CHMI, EFC, UMH, SELF"
Consumer Cyclical,3,21,-2.9,"HZO, GBTG, VNCE, JRSH, PAG"
Consumer Defensive,3,10,-2.1,"HNST, ACU, SENEA, CHD, SPB"
Basic Materials,1,6,-2.3,"SXC, MAKO, FCX, SXT, VHI"
Energy,1,17,-3.2,"INSW, PSX, DK, SM, OKE"
Utilities,0,9,-3.0,"WTRG, AWR, NWE, YORW, TXNM"
