Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,177,370,-1.6,"UVE, PAMT, PAYS, ANSC, AMLX"
Financial Services,135,283,-1.5,"ASRV, ACT, MGYR, MBWM, MBIN"
Consumer Cyclical,14,39,-2.0,"MGA, ROST, PAG, CURV, EXPE"
Real Estate,14,44,-1.8,"PDM, EXR, LAMR, CUZ, HIW"
Healthcare,12,39,-2.0,"AGEN, SOLV, IQV, KNSA, DVA"
Communication Services,9,16,-1.4,"PSO, ROKU, ZD, EA, NEXN"
Technology,8,16,-1.6,"ACIW, GRMN, SCSC, KARO, CNXN"
Consumer Defensive,8,15,-1.6,"PFGC, KO, GHC, STRA, ACU"
Industrials,7,36,-2.5,"KFY, DFNS, ABM, ECO, ACCO"
Energy,3,9,-2.1,"INSW, WKC, NAT, EOG, LPG"
Basic Materials,1,7,-2.6,"CTVA, GGB, SXC, RS, SXT"
Utilities,1,13,-3.2,"NJR, WTRG, AWR, EIX, SO"
