Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,208,447,-1.7,"ALDF, BDL, ARTNA, ATAI, ATRC"
Financial Services,176,305,-1.2,"AACB, ASB, BBVA, BNY, BYFC"
Healthcare,21,59,-2.0,"BFRI, STLN, TALK, CLYM, SOLV"
Industrials,20,54,-1.9,"ARMK, ATKR, CVU, DCO, SMHI"
Technology,14,32,-2.0,"AEHR, AUDC, USIO, SAIC, QMCO"
Communication Services,10,17,-1.2,"BATRK, ROKU, RDI, LLYVA, LLYVK"
Energy,9,20,-2.0,"TDW, SMC, PSX, INSW, OKE"
Consumer Cyclical,8,30,-2.3,"EXPE, HBB, GBTG, ABNB, LZB"
Real Estate,6,27,-2.6,"CHMI, JLL, EFC, NLY, UMH"
Basic Materials,4,8,-1.7,"AVNT, SXT, MAKO, RS, NUE"
Consumer Defensive,2,9,-2.2,"ACU, TGT, SENEA, SPB, KO"
Utilities,2,12,-2.8,"AWR, YORW, WTRG, NWE, BKH"
