Ticker,Price,52W_High,Pct_From_52W_High,Sector
ACNB,65.2,65.2,0.0,Financial Services
YCY,10.27,10.27,0.0,Unknown
ALDF,10.81,10.81,0.0,Unknown
VLO,366.09,366.09,0.0,Unknown
SXC,10.57,10.57,0.0,Basic Materials
VRTX,556.75,556.75,0.0,Unknown
WTG,10.58,10.58,0.0,Unknown
WENN,10.39,10.39,-0.0,Financial Services
TDW,100.61,100.61,0.0,Energy
BIIB,222.67,222.67,0.0,Healthcare
TK,13.36,13.36,0.0,Unknown
TISI,26.52,26.52,0.0,Unknown
CRAQ,10.38,10.38,0.0,Unknown
PSX,256.09,256.09,0.0,Energy
CHAR,10.95,10.95,0.0,Financial Services
ZYME,31.05,31.05,0.0,Unknown
ZD,56.69,56.69,0.0,Communication Services
SWVL,5.08,5.08,0.0,Unknown
SVCC,10.67,10.67,0.0,Financial Services
SLDE,24.18,24.18,0.0,Financial Services
TARS,82.76,82.76,0.0,Unknown
TACH,10.51,10.52,-0.0,Unknown
SZZL,10.5,10.5,0.0,Unknown
SDHI,10.51,10.51,0.0,Financial Services
SAIH,25.4,25.4,0.0,Unknown
SBFG,29.22,29.22,0.0,Financial Services
SOLV,91.9,91.9,0.0,Healthcare
SM,38.29,38.29,0.0,Energy
RDI,2.16,2.16,0.0,Communication Services
RDAG,10.4,10.4,0.0,Financial Services
SHIP,18.6,18.6,0.0,Industrials
SLAB,220.23,220.34,-0.0,Technology
CLMT,53.07,53.07,0.0,Unknown
SENEA,207.3,207.3,0.0,Consumer Defensive
SGMT,10.99,10.99,0.0,Healthcare
SENEB,207.26,207.26,0.0,Unknown
RELY,26.82,26.82,0.0,Unknown
REGN,852.03,852.03,0.0,Healthcare
CCAQ,10.55,10.55,-0.0,Financial Services
SB,9.09,9.09,0.0,Industrials
RVTY,130.94,130.94,0.0,Healthcare
RSKD,6.65,6.65,0.0,Technology
RNG,72.58,72.58,0.0,Unknown
RGA,252.37,252.37,0.0,Unknown
SAFT,103.12,103.16,-0.0,Unknown
REPL,15.98,15.98,0.0,Unknown
RNXT,2.52,2.52,0.0,Unknown
REPX,41.22,41.22,0.0,Unknown
PAII,10.29,10.29,0.0,Unknown
OGN,13.77,13.77,0.0,Healthcare
CHYM,33.41,33.41,0.0,Technology
CHMG,83.9,83.92,-0.0,Financial Services
ACCO,4.33,4.33,-0.0,Industrials
ACA,145.45,145.49,-0.0,Unknown
ACU,63.82,63.82,0.0,Consumer Defensive
RPRX,63.11,63.11,0.0,Unknown
PFE,29.02,29.02,0.0,Healthcare
EHLD,11.9,11.9,0.0,Unknown
PBAM,89.5,89.5,0.0,Unknown
PACH,10.33,10.33,0.0,Financial Services
ECBK,21.07,21.07,0.0,Unknown
EGHA,10.4,10.4,0.0,Financial Services
NOV,21.71,21.71,0.0,Energy
DRDB,10.67,10.67,0.0,Financial Services
