Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,208,445,-1.6,"WLYB, SZZL, TACH, TECX, TENB"
Financial Services,119,324,-1.5,"ALF, TROW, SLDE, SVCC, UFCS"
Healthcare,40,68,-1.3,"WST, TBRG, APGE, SLDB, XOMA"
Real Estate,34,55,-1.2,"TRNO, AAT, AHR, PSA, OLP"
Industrials,18,44,-2.2,"UNP, UHAL, USEA, VSEC, SNA"
Utilities,14,22,-1.4,"PNW, AWR, EVRG, LNT, IDA"
Communication Services,10,17,-1.2,"BATRA, BATRK, ZD, PSO, LYV"
Consumer Cyclical,9,31,-2.1,"ABNB, SON, RSI, SGHC, REYN"
Consumer Defensive,8,15,-1.4,"SENEA, PSMT, PFGC, MNST, KO"
Technology,5,16,-1.9,"FLYW, ACIW, FTV, RAMP, SLAB"
Basic Materials,4,6,-1.0,"SXT, CTVA, KOP, LIN, ODC"
Energy,2,3,-2.0,"WKC, DK, DTM"
