Ticker,Price,52W_High,Pct_From_52W_High,Sector
UVE,45.02,45.02,0.0,Unknown
ACIW,60.18,60.18,0.0,Technology
ASRV,4.5,4.5,0.0,Financial Services
PAMT,17.19,17.19,0.0,Unknown
PAYS,9.25,9.25,0.0,Unknown
ANSC,11.47,11.47,0.0,Unknown
AMLX,19.73,19.73,0.0,Unknown
ALDF,10.74,10.74,0.0,Unknown
AGEN,6.63,6.63,0.0,Healthcare
AFBI,22.99,22.99,-0.0,Unknown
ACT,48.34,48.34,0.0,Financial Services
SAIH,19.2,19.2,0.0,Unknown
RUSHB,78.99,78.99,0.0,Unknown
RUSHA,81.62,81.62,0.0,Unknown
MGYR,19.18,19.18,0.0,Financial Services
MDLZ,64.99,64.99,0.0,Unknown
MBWM,60.43,60.43,0.0,Financial Services
MBIN,54.28,54.28,0.0,Financial Services
CAKE,101.14,101.14,0.0,Unknown
CAC,58.47,58.47,0.0,Financial Services
BWFG,68.06,68.06,0.0,Unknown
BUSE,30.72,30.72,0.0,Financial Services
PSO,17.64,17.64,0.0,Communication Services
SOLV,88.55,88.55,0.0,Healthcare
SNOW,282.9,282.9,0.0,Unknown
SJM,126.35,126.35,0.0,Unknown
SIF,26.76,26.76,0.0,Unknown
BOTJ,27.79,27.79,0.0,Financial Services
BJRI,70.15,70.15,0.0,Unknown
CCNE,35.55,35.55,0.0,Financial Services
CCG,13.08,13.08,0.0,Unknown
CBSH,60.33,60.33,0.0,Financial Services
PARR,83.07,83.07,0.0,Unknown
RNG,57.58,57.58,0.0,Unknown
RLI,65.65,65.65,0.0,Unknown
RDN,39.71,39.71,0.0,Unknown
QUAD,9.29,9.29,0.0,Unknown
CBNK,37.83,37.83,0.0,Financial Services
CASS,56.01,56.01,0.0,Unknown
CAPN,11.1,11.1,0.0,Financial Services
CHEF,105.63,105.63,0.0,Unknown
NP,35.11,35.11,0.0,Unknown
MTN,160.01,160.01,0.0,Unknown
MTG,30.58,30.58,0.0,Unknown
MGA,69.1,69.1,0.0,Consumer Cyclical
PRK,212.56,212.56,0.0,Financial Services
PRI,323.43,323.43,0.0,Financial Services
PK,15.32,15.32,0.0,Unknown
PFGC,116.65,116.65,0.0,Consumer Defensive
PDM,9.91,9.91,0.0,Real Estate
CHCO,145.21,145.21,0.0,Financial Services
CFBK,36.31,36.31,0.0,Unknown
MAGH,6.76,6.76,0.0,Unknown
ROST,251.96,251.96,0.0,Consumer Cyclical
ROKU,145.33,145.33,0.0,Communication Services
SPEG,10.33,10.33,0.0,Unknown
SLDE,22.14,22.14,0.0,Financial Services
SIRI,32.59,32.59,0.0,Unknown
SHBI,24.54,24.54,0.0,Financial Services
LPBB,10.77,10.77,0.0,Financial Services
LIND,29.75,29.75,0.0,Unknown
LILAK,8.38,8.38,0.0,Unknown
LILA,8.52,8.52,0.0,Unknown
CZFS,77.26,77.26,0.0,Financial Services
CTBI,78.35,78.35,0.0,Financial Services
LTH,45.7,45.7,0.0,Unknown
LAD,427.48,427.48,0.0,Unknown
KO,89.08,89.08,0.0,Consumer Defensive
KFY,84.69,84.69,0.0,Industrials
KFRC,59.06,59.06,0.0,Unknown
PAII,10.24,10.24,0.0,Unknown
PAG,223.44,223.44,0.0,Consumer Cyclical
ORI,44.59,44.59,0.0,Unknown
OPHC,7.19,7.19,0.0,Unknown
CRNX,83.88,83.91,-0.0,Unknown
CRAQ,10.35,10.35,0.0,Unknown
DRH,13.14,13.14,0.0,Unknown
DRDB,10.61,10.61,0.0,Financial Services
IQV,247.56,247.56,0.0,Healthcare
INSW,94.55,94.55,0.0,Energy
INN,7.07,7.07,0.0,Unknown
IMAX,48.66,48.66,0.0,Unknown
IEX,229.52,229.52,0.0,Unknown
HTB,51.52,51.52,0.0,Unknown
MCS,24.96,24.96,0.0,Unknown
MAN,55.86,55.86,0.0,Unknown
DMAA,10.71,10.71,0.0,Unknown
DFNS,50.22,50.22,0.0,Industrials
DBX,33.33,33.33,0.0,Unknown
ETON,48.13,48.13,0.0,Unknown
ESQ,131.89,131.89,0.0,Financial Services
GRMN,294.83,294.83,0.0,Technology
GKOS,161.66,161.66,0.0,Unknown
GHC,1233.96,1233.96,0.0,Consumer Defensive
GEF,87.21,87.21,0.0,Unknown
FCF,21.79,21.79,0.0,Financial Services
EXR,152.85,152.85,0.0,Real Estate
EVAC,10.24,10.24,-0.0,Unknown
ELS,67.65,67.65,0.0,Unknown
ELSE,7.74,7.74,0.0,Unknown
LCCC,10.48,10.48,0.0,Unknown
SDHI,10.47,10.47,0.0,Financial Services
SCSC,57.38,57.38,0.0,Technology
SYBT,88.03,88.03,0.0,Financial Services
