Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,159,413,-2.0,"ATRC, ATAI, AMLX, TISI, AMGN"
Financial Services,108,289,-1.7,"ATLO, SCHW, RAC, CCAQ, CAPN"
Healthcare,22,58,-1.8,"BFRI, SGMT, RCEL, RAPP, RVMD"
Energy,14,22,-1.2,"TRGP, SM, PBF, PR, PSX"
Industrials,8,39,-2.4,"SMHI, RTX, HWM, ATKR, GD"
Consumer Cyclical,6,22,-2.6,"UFI, JILL, HBB, HZO, GBTG"
Technology,5,17,-2.7,"DHX, SLAB, SAIC, CHYM, P"
Real Estate,4,19,-2.7,"NLY, CHMI, EFC, LXP, JLL"
Consumer Defensive,3,7,-2.1,"ACU, KO, SENEA, TGT, SPB"
Communication Services,2,17,-2.8,"RDI, ROKU, ZD, GSAT, IDT"
Utilities,2,10,-2.4,"AWR, YORW, WTRG, MSEX, TXNM"
Basic Materials,0,6,-3.1,"RS, SXT, VHI, NUE, SXC"
