Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,156,398,-2.0,"VIRT, BAND, ANSC, ALDF, RGA"
Financial Services,79,309,-2.2,"VOYA, ALF, TY, STT, BACC"
Healthcare,33,72,-1.7,"ALMS, UNH, APGE, TOI, TENX"
Industrials,12,37,-2.6,"UNP, GTLS, EXPD, ARMK, POWW"
Technology,12,24,-1.9,"NET, DHX, CNXN, ANET, SCSC"
Real Estate,9,50,-2.3,"FVR, FR, HR, LAMR, TRNO"
Consumer Cyclical,6,21,-2.5,"UFI, PAG, BZH, TMHC, RSI"
Energy,5,10,-1.6,"PSX, PBF, DK, FTK, WKC"
Communication Services,2,15,-2.3,"PSO, EA, BATRA, QNST, BATRK"
Basic Materials,1,5,-2.5,"ODC, KOP, CTVA, SXT, LIN"
Consumer Defensive,1,16,-3.2,"LAUR, MNST, ACU, STRA, KO"
Utilities,1,20,-3.2,"NJR, AWR, EIX, OGE, PNW"
