Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,171,417,-1.9,"VIRT, AVAH, ATRC, THC, TK"
Financial Services,60,238,-2.4,"TRIN, CHAR, SCHW, RAC, BLUW"
Healthcare,25,59,-1.7,"SOLV, BFRI, RVTY, OGN, BLFS"
Industrials,15,36,-1.9,"UNP, SMHI, SB, NSC, KFY"
Energy,11,19,-1.1,"LPG, EOG, DK, HPK, INSW"
Consumer Cyclical,9,25,-1.9,"ABNB, MGA, AMBP, FIVE, FNKO"
Technology,8,17,-1.8,"USIO, FLYW, MLAB, AMPL, SAIC"
Communication Services,6,18,-1.9,"ZD, RDI, IDT, ROKU, VZ"
Real Estate,6,22,-2.8,"CHMI, SELF, LXP, UMH, EFC"
Basic Materials,4,6,-1.0,"SXT, SXC, FCX, MAKO, VHI"
Consumer Defensive,3,7,-2.2,"TGT, KO, SENEA, ACU, CCEP"
Utilities,2,10,-3.4,"YORW, AWR, WTRG, TXNM, MSEX"
