Ticker,Price,52W_High,Pct_From_52W_High,Sector
ALIS,10.32,10.32,0.0,Financial Services
ZIM,30.08,30.08,0.0,Unknown
ALDF,10.81,10.81,0.0,Unknown
ATRC,53.73,53.73,0.0,Unknown
YCY,10.28,10.28,0.0,Unknown
RDAG,10.43,10.43,0.0,Financial Services
QUMS,10.33,10.33,0.0,Unknown
RBKB,13.07,13.07,0.0,Unknown
SDHI,10.53,10.53,0.0,Financial Services
SABR,2.26,2.26,0.0,Unknown
NSTS,14.14,14.14,0.0,Financial Services
SAFT,103.37,103.37,0.0,Unknown
SAIH,26.22,26.22,0.0,Unknown
OESX,30.52,30.52,0.0,Industrials
LKSP,10.22,10.22,0.0,Unknown
NWL,6.34,6.34,0.0,Unknown
ORIQ,10.41,10.41,0.0,Unknown
LPBB,10.8,10.81,-0.0,Financial Services
DINO,108.31,108.31,0.0,Unknown
TDAC,10.88,10.88,0.0,Unknown
DELL,533.88,533.88,0.0,Unknown
HTGC,17.72,17.72,0.0,Financial Services
CLST,18.15,18.15,0.0,Financial Services
CLMT,53.91,53.91,0.0,Unknown
MPC,397.77,397.77,0.0,Unknown
CRAQ,10.38,10.38,0.0,Unknown
MAGH,6.76,6.76,0.0,Unknown
DMAA,10.79,10.79,0.0,Unknown
LSBK,18.0,18.0,0.0,Unknown
SVCC,10.68,10.68,0.0,Financial Services
MNSB,25.61,25.61,0.0,Financial Services
MKLY,10.26,10.26,-0.0,Financial Services
MCTA,29.35,29.35,0.0,Healthcare
MBVI,10.23,10.23,0.0,Unknown
CVE,33.19,33.19,0.0,Unknown
MNTK,2.5,2.5,0.0,Basic Materials
SWVL,6.42,6.42,0.0,Unknown
DK,75.67,75.67,0.0,Energy
TJGC,10.51,10.51,0.0,Communication Services
HVII,11.26,11.26,0.0,Financial Services
KFII,10.65,10.65,0.0,Financial Services
KCHV,10.45,10.45,0.0,Unknown
FLXS,84.2,84.2,0.0,Unknown
FACT,10.71,10.71,0.0,Unknown
EHLD,12.2,12.2,0.0,Unknown
FSEA,17.19,17.19,-0.0,Financial Services
DYOR,10.12,10.12,0.0,Unknown
EVAC,10.3,10.3,0.0,Unknown
FRO,46.62,46.62,0.0,Unknown
GNW,10.42,10.42,0.0,Financial Services
RAC,10.6,10.6,0.0,Financial Services
REPX,42.83,42.83,0.0,Unknown
PAII,10.29,10.29,0.0,Unknown
PBT,34.81,34.81,0.0,Energy
GIW,10.17,10.17,0.0,Unknown
AOUT,14.77,14.77,0.0,Unknown
ARTNA,36.69,36.69,0.0,Unknown
PACH,10.33,10.33,0.0,Financial Services
VLO,382.85,382.85,0.0,Unknown
BOTJ,28.15,28.15,0.0,Financial Services
VHI,18.66,18.66,0.0,Basic Materials
