Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
CCG,Cheche Group Inc. - Class A Ordinary Shares,13.74,100.0,-10.7,3.2,1.58,1.43,15.39,0.37
PRPL,"Purple Innovation, Inc. - Common Stock",9.75,100.0,0.0,2.03,1.11,1.03,9.75,0.29
BANL,CBL International Limited - Class B Ordinary Shares,4.55,99.8,-11.9,1.43,0.8,0.72,5.16,0.29
ERAS,"Erasca, Inc. - Common Stock",18.38,99.7,-18.2,16.26,13.8,11.06,22.47,1.4
QTTB,Q32 Bio Inc. - Common Stock,16.16,99.7,-24.4,13.42,7.85,6.58,21.38,1.63
FBRX,"Forte Biosciences, Inc.  - Common Stock",76.56,99.6,-0.5,34.04,30.16,27.04,76.98,9.7
EVC,Entravision Communications Corporation Common Stock,11.63,99.6,-13.7,10.61,6.02,5.16,13.48,1.91
CLYM,"Climb Bio, Inc. - Common Stock",12.56,99.6,-10.3,12.2,8.76,7.17,14.0,1.61
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",11.81,99.6,-23.6,10.6,6.71,5.5,15.45,1.39
STTK,"Shattuck Labs, Inc. - Common Stock",7.92,99.5,0.0,6.12,5.7,4.87,7.92,0.74
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",26.04,99.5,-1.8,21.5,12.73,10.84,26.51,3.14
BLZE,"Backblaze, Inc. - Common Stock",19.79,99.5,0.0,11.88,7.01,6.85,19.79,3.31
ATEX,Anterix Inc. - Common Stock,106.35,99.4,-1.7,86.91,53.62,45.34,108.21,17.99
CHRN,ChronoScale Holdings Corporation - Common Stock,24.45,99.4,-17.5,20.88,14.09,11.76,29.63,2.98
ANTX,"AN2 Therapeutics, Inc. - Common Stock",5.94,99.4,0.0,4.72,3.41,2.85,5.94,1.03
MAAS,Maase Inc. - Class A Ordinary Shares,19.51,99.4,-8.1,15.25,9.61,8.2,21.24,2.86
SIF,"SIFCO Industries, Inc. Common Stock",27.65,99.4,0.0,22.7,15.69,13.43,27.65,4.88
SYRE,"Spyre Therapeutics, Inc. - Common Stock",104.94,99.3,0.0,88.73,61.73,53.17,104.94,14.82
AEHR,Aehr Test Systems - Common Stock,109.89,99.3,-5.7,91.65,63.91,53.82,116.58,17.38
DMRA,"Damora Therapeutics, Inc. - Ordinary Shares",30.02,99.2,-12.1,26.15,25.72,23.94,34.14,2.58
ORKA,"Oruka Therapeutics, Inc. - Common Stock",98.13,99.2,0.0,79.43,56.67,49.7,98.13,13.05
BFLY,"Butterfly Network, Inc. Class A Common Stock",8.81,99.2,-1.1,6.68,4.98,4.42,8.91,1.33
ALMS,Alumis Inc. - Common Stock,27.12,99.1,-10.5,25.15,24.46,20.19,30.3,3.95
LITE,Lumentum Holdings Inc. - Common Stock,849.47,99.1,-19.3,822.08,719.94,607.73,1053.09,108.15
LQDA,Liquidia Corporation - Common Stock,88.38,99.0,-0.7,74.22,51.0,45.57,89.03,19.21
DELL,Dell Technologies Inc. Class C Common Stock ,467.27,99.0,0.0,406.48,242.65,216.53,467.27,110.54
ANRO,"Alto Neuroscience, Inc. Common Stock",28.23,99.0,-1.4,24.28,21.77,19.77,28.63,3.06
MBX,"MBX Biosciences, Inc. - Common Stock",70.7,99.0,0.0,49.32,38.74,35.49,70.7,9.74
ALTO,"Alto Ingredients, Inc. - Common Stock",5.29,98.9,-11.7,5.29,4.3,3.72,5.99,0.92
TXG,"10x Genomics, Inc. - Common Stock",47.86,98.9,-3.2,37.51,26.38,23.71,49.43,11.34
YARW,"Yarrow Bioscience, Inc. - Common Stock",37.96,98.8,0.0,21.38,18.49,16.67,37.96,8.1
CDNA,"CareDx, Inc. - Common Stock",47.09,98.8,-1.6,29.38,22.69,21.28,47.85,11.57
RLAY,"Relay Therapeutics, Inc. - Common Stock",19.54,98.8,-5.8,17.24,12.87,11.48,20.75,3.22
TNGX,"Tango Therapeutics, Inc. - Common Stock",29.36,98.7,-10.8,27.66,20.62,17.66,32.9,6.36
RVMD,"Revolution Medicines, Inc. - Common Stock",193.46,98.7,0.0,173.05,132.88,116.84,193.46,34.7
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,13.08,98.7,-3.6,11.28,8.74,7.6,13.57,3.02
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,7.77,98.7,0.0,4.99,3.69,3.31,7.77,1.47
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",110.4,98.7,-2.0,93.42,76.71,67.37,112.64,18.76
ALOT,"AstroNova, Inc. - Common Stock",28.86,98.6,-0.3,24.17,15.1,13.43,28.95,7.01
