Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,131,359,-2.0,"UBS, ANSC, TD, SOUL, SAFE"
Financial Services,102,307,-1.9,"AACB, STT, BANR, PMO, PMM"
Real Estate,20,52,-1.7,"TRNO, NXDT, NREF, NLY, HR"
Healthcare,19,45,-1.8,"APGE, ELV, CVS, CNC, AGL"
Industrials,16,44,-2.1,"UHAL, TBI, SMHI, HXL, GTLS"
Energy,7,13,-1.2,"WTTR, WKC, TRGP, PSX, PBF"
Utilities,7,19,-1.9,"OGE, EIX, AWR, PNW, BKH"
Consumer Cyclical,5,18,-2.2,"UFI, ETSY, BZH, TMHC, PAG"
Technology,5,22,-2.1,"RAMP, NET, SCSC, FFIV, FTNT"
Communication Services,3,14,-2.5,"QNST, EA, BATRA, SCHL, ROKU"
Consumer Defensive,3,12,-2.2,"FMX, MNST, GHC, KO, LAUR"
Basic Materials,1,4,-2.2,"KOP, CTVA, ODC, LIN"
