Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,171,398,-1.8,"WHG, VTR, SOUL, SIF, SLF"
Financial Services,114,319,-1.9,"VOYA, STT, PRI, PNC, NTB"
Healthcare,39,76,-1.6,"TDOC, BEAM, BFRI, BCAX, CAH"
Real Estate,26,53,-1.3,"WELL, NREF, LXP, HIW, FR"
Utilities,9,20,-1.7,"EIX, NJR, DTE, LNT, PNW"
Consumer Cyclical,8,24,-2.2,"SGHC, RSI, PAG, OLPX, UFI"
Communication Services,7,15,-1.9,"BATRK, PSO, EA, LLYVA, LLYVK"
Industrials,6,35,-2.5,"GTLS, UNP, GD, OTTR, CSX"
Technology,4,16,-2.1,"CNXN, DHX, ACIW, RAMP, FLYW"
Consumer Defensive,4,15,-2.1,"PFGC, LAUR, KO, MNST, FMX"
Basic Materials,3,5,-0.9,"CTVA, KOP, SXT, ODC, LIN"
Energy,0,9,-3.1,"WKC, TRGP, DK, TRP, DTM"
