Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Financial Services,237,327,-0.8,"VOYA, USB, AROW, AMAL, ALRS"
Unknown,212,414,-1.5,"ATAI, ANSC, AMCX, ALOT, UNF"
Real Estate,44,58,-0.6,"TRNO, STAG, SPG, SKT, PLD"
Healthcare,18,37,-1.7,"AMRX, BLFS, PACS, HSIC, IART"
Industrials,18,44,-1.8,"VSTS, UPS, UNP, UHAL, TRN"
Consumer Cyclical,15,34,-1.6,"TMHC, PII, PAG, CROX, MOV"
Technology,8,17,-1.7,"RAMP, KARO, SCSC, ACIW, CNXN"
Utilities,7,20,-2.1,"NJR, EIX, AWR, PNW, NWE"
Energy,6,13,-1.8,"PBF, DK, WKC, PSX, TRGP"
Communication Services,5,13,-1.7,"BATRA, OMC, EA, ROKU, ZD"
Consumer Defensive,5,13,-1.7,"SPB, KO, GHC, MNST, TGT"
Basic Materials,2,7,-2.8,"KOP, CTVA, CX, GGB, ODC"
