Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,233,422,-1.4,"CTOS, D, DAL, CRS, CALY"
Financial Services,217,322,-1.0,"CBU, CCIX, BANR, BCAL, TFIN"
Healthcare,42,70,-1.4,"AMRX, CVS, DVA, BCAX, CADL"
Industrials,29,72,-2.1,"DCO, BBCP, TEX, SNA, ARMK"
Real Estate,29,56,-1.4,"CURB, WELL, CUZ, DOC, CBL"
Consumer Cyclical,22,39,-1.4,"XMAX, PII, OPLN, PLOW, GTX"
Utilities,11,20,-1.0,"DTE, CNP, AWR, AEE, EVRG"
Technology,10,32,-2.0,"BELFB, RAL, GLW, FTNT, SCSC"
Communication Services,9,15,-1.5,"EVC, EA, ZD, LLYVK, MSGE"
Consumer Defensive,7,17,-1.9,"WEST, ACU, JBSS, PSMT, MNST"
Basic Materials,4,11,-2.5,"SSD, ODC, KOP, LIN, RS"
Energy,4,11,-1.9,"WKC, AROC, DTM, TRP, TRGP"
