Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,212,316,-1.0,"WYY, WLYB, WLY, UMC, ARWR"
Financial Services,74,304,-2.4,"JACS, HSBC, GRAF, GL, BGC"
Healthcare,13,41,-2.0,"GRDN, DVA, PHVS, OSUR, MRVI"
Technology,11,51,-2.6,"INTT, RAMP, LSCC, TXN, TSEM"
Industrials,9,38,-2.5,"HXL, HWM, GHM, WWD, HURC"
Consumer Cyclical,5,32,-2.9,"VNCE, HLT, OLPX, TMHC, JRSH"
Communication Services,2,13,-2.5,"BATRA, BATRK, EA, PSO, LYV"
Basic Materials,0,5,-2.7,"LIN, KOP, RS, FUL, FCX"
Consumer Defensive,0,9,-3.5,"MNST, PSMT, CENTA, FMX, ACU"
Energy,0,4,-2.8,"NAT, WKC, TRP, NGS"
Real Estate,0,33,-3.6,"CTO, EFC, EQIX, IVT, CHCT"
Utilities,0,13,-3.1,"PNW, ENIC, EVRG, LNT, CNP"
