Ticker,Price,52W_High,Pct_From_52W_High,Sector
AACB,10.55,10.55,0.0,Financial Services
AAPL,317.31,317.31,0.0,Unknown
ACGL,103.06,103.06,0.0,Unknown
ACIW,56.43,56.43,0.0,Technology
PRVA,27.89,27.89,0.0,Unknown
PSNL,15.04,15.04,0.0,Unknown
QNST,17.61,17.61,0.0,Communication Services
QSEA,10.55,10.55,-0.0,Unknown
QTTB,21.38,21.38,0.0,Unknown
RFAI,11.06,11.06,0.0,Unknown
RRBI,97.35,97.35,0.0,Unknown
PAYS,9.12,9.12,0.0,Unknown
PCB,29.18,29.18,0.0,Unknown
PFG,113.61,113.61,0.0,Financial Services
TBI,8.6,8.6,0.0,Industrials
TDOC,9.65,9.65,0.0,Healthcare
TRGP,279.4,279.4,0.0,Energy
TRNO,70.28,70.28,0.0,Real Estate
BANR,68.57,68.57,0.0,Financial Services
PGAC,10.69,10.69,0.0,Unknown
PGNY,31.98,31.98,0.0,Healthcare
SBFG,26.56,26.56,0.0,Financial Services
SBUX,107.34,107.34,0.0,Unknown
SCSC,53.86,53.86,0.0,Technology
SEIC,96.18,96.18,0.0,Financial Services
OBA,10.25,10.25,0.0,Unknown
ORIQ,10.32,10.32,0.0,Unknown
RF,31.07,31.07,0.0,Unknown
RGA,238.01,238.01,0.0,Unknown
RSI,34.18,34.18,0.0,Consumer Cyclical
BJRI,62.39,62.39,0.0,Unknown
BOTJ,26.11,26.11,0.0,Financial Services
BSET,21.49,21.49,0.0,Unknown
SOUL,10.38,10.38,0.0,Unknown
SLDE,21.38,21.38,0.0,Financial Services
SNFCA,9.74,9.74,0.0,Financial Services
SPEG,10.3,10.3,0.0,Unknown
STGW,7.87,7.87,0.0,Unknown
NMP,10.29,10.29,0.0,Unknown
NOEM,10.48,10.48,0.0,Unknown
NTRS,184.1,184.1,0.0,Financial Services
NUVL,123.94,123.94,0.0,Unknown
STRA,85.72,85.72,0.0,Consumer Defensive
PRI,310.22,310.22,0.0,Financial Services
PRU,116.17,116.17,0.0,Financial Services
PSO,17.61,17.61,0.0,Communication Services
CAPN,11.07,11.07,0.0,Financial Services
PSX,198.29,198.29,0.0,Energy
TACH,10.48,10.48,0.0,Unknown
TCBK,60.07,60.07,0.0,Financial Services
TECH,71.36,71.36,0.0,Unknown
TOI,6.25,6.25,0.0,Healthcare
TVAI,10.36,10.36,0.0,Unknown
NBTB,50.61,50.61,0.0,Financial Services
PARR,70.92,70.92,0.0,Unknown
PBA,49.65,49.65,0.0,Unknown
PBF,57.44,57.44,0.0,Energy
UYSC,10.71,10.71,0.0,Unknown
XMTR,96.67,96.67,0.0,Industrials
MACI,10.9,10.9,0.0,Financial Services
MAGH,6.76,6.76,0.0,Unknown
MKTW,20.61,20.61,0.0,Financial Services
AFG,143.35,143.35,0.0,Unknown
AFL,123.3,123.3,0.0,Financial Services
ALL,256.45,256.45,0.0,Financial Services
AMWL,11.01,11.01,0.0,Healthcare
LCCC,10.44,10.44,0.0,Unknown
LPAA,11.0,11.0,0.0,Unknown
LPBB,10.73,10.73,0.0,Financial Services
ARMK,58.15,58.15,0.0,Industrials
AWR,85.05,85.05,0.0,Utilities
AXS,114.52,114.53,-0.0,Financial Services
KELYA,14.31,14.31,0.0,Unknown
KINS,20.64,20.64,0.0,Unknown
ODC,106.44,106.44,0.0,Basic Materials
OII,43.22,43.22,0.0,Unknown
OOMA,20.41,20.41,0.0,Unknown
OPHC,6.0,6.0,0.0,Unknown
CLMT,39.58,39.58,0.0,Unknown
CNXN,78.49,78.49,0.0,Technology
OPY,116.18,116.18,0.0,Financial Services
BNL,21.94,21.94,0.0,Real Estate
BNS,88.0,88.0,0.0,Unknown
CFR,157.9,157.9,0.0,Financial Services
