Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,138,354,-2.0,"YCY, ALDF, VLO, VRTX, WTG"
Financial Services,72,221,-2.1,"ACNB, WENN, CHAR, SVCC, SLDE"
Healthcare,22,48,-2.0,"BIIB, SOLV, SGMT, REGN, RVTY"
Industrials,12,21,-1.2,"SHIP, SB, ACCO, WNC, ECO"
Energy,10,20,-1.4,"TDW, PSX, SM, NOV, NAT"
Technology,7,19,-2.0,"SLAB, RSKD, CHYM, MLAB, DHX"
Communication Services,5,12,-1.8,"ZD, RDI, VZ, TJGC, IDT"
Consumer Cyclical,3,11,-2.4,"GBTG, CART, HZO, PAG, CZR"
Consumer Defensive,3,7,-1.9,"SENEA, ACU, HNST, SPB, CCEP"
Basic Materials,2,6,-1.8,"SXC, CTVA, SXT, GGB, VHI"
Real Estate,2,15,-3.1,"CHMI, LXP, EFC, PDM, AHR"
Utilities,1,9,-2.5,"WTRG, YORW, AWK, TXNM, AWR"
