Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,289,482,-1.3,"XRN, ABSI, VSXY, APPS, AOUT"
Financial Services,250,323,-0.7,"AROW, AMAL, ALRS, TRV, TMP"
Healthcare,58,71,-0.7,"UNH, AVBP, ASTH, BIIB, BCAX"
Real Estate,41,56,-0.8,"WELL, SPG, PSTL, PSA, PDM"
Consumer Cyclical,31,45,-1.1,"YETI, ABNB, RSI, PLOW, PII"
Industrials,24,55,-1.8,"AAL, VSTS, APOG, UHAL, BBCP"
Utilities,17,20,-0.4,"WEC, PNW, NI, EVRG, IDA"
Communication Services,13,17,-0.8,"BATRK, BATRA, TDAY, MSGE, EA"
Consumer Defensive,12,17,-1.0,"SPB, PFGC, FC, JBSS, MNST"
Technology,11,25,-1.5,"BELFB, CCSI, DGII, FTNT, MITK"
Basic Materials,4,8,-1.6,"SSD, ODC, KOP, LIN, KALU"
Energy,4,10,-1.2,"DTM, AROC, WKC, NGS, WMB"
