Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
SNDK,Sandisk Corporation - Common Stock When-Issued,1958.8,100.0,-7.1,1371.78,759.52,602.59,2107.86,40.69
OPTX,"Syntec Optics Holdings, Inc. - Class A Common Stock",12.87,99.9,-8.8,9.92,6.46,5.35,14.11,1.24
RXT,"Rackspace Technology, Inc. - Common Stock",7.53,99.8,0.0,3.69,2.0,1.86,7.53,0.41
WDC,Western Digital Corporation - Common Stock,712.13,99.8,0.0,471.74,310.25,262.64,712.13,58.41
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",23.26,99.8,-1.2,17.51,8.91,8.05,23.54,3.14
MXL,"MaxLinear, Inc - Common Stock",82.87,99.8,-19.0,70.52,35.15,30.37,102.27,12.76
AEHR,Aehr Test Systems - Common Stock,112.62,99.7,-3.4,93.43,50.59,44.78,116.58,11.15
AGL,"agilon health, inc. Common Stock",104.67,99.7,-9.9,62.3,31.51,29.97,116.16,7.91
BE,Bloom Energy Corporation Class A Common Stock,284.99,99.6,-7.4,257.68,172.47,152.69,307.88,21.34
MU,"Micron Technology, Inc. - Common Stock",1043.19,99.6,-4.1,718.25,466.12,395.54,1087.99,104.73
QTTB,Q32 Bio Inc. - Common Stock,12.91,99.6,-7.8,7.89,5.38,4.64,14.0,1.36
STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),1066.07,99.5,0.0,749.3,480.43,416.65,1066.07,129.2
MAAS,Maase Inc. - Class A Ordinary Shares,17.94,99.5,0.0,10.24,6.91,6.06,17.94,2.53
HYLN,Hyliion Holdings Corp. Class A Common Stock,7.66,99.4,0.0,4.11,2.67,2.51,7.66,1.32
VATE,INNOVATE Corp. Common Stock,18.91,99.4,-1.0,13.24,7.83,7.12,19.1,3.98
CLYM,"Climb Bio, Inc. - Common Stock",11.34,99.3,-7.2,10.25,6.59,5.46,12.22,1.18
VICR,Vicor Corporation - Common Stock,325.17,99.3,-6.0,270.79,184.13,153.86,345.84,43.83
OCC,Optical Cable Corporation - Common Stock,21.73,99.3,-19.3,13.23,8.75,8.63,26.92,2.7
INTC,Intel Corporation - Common Stock,121.1,99.2,-6.4,99.92,62.07,54.96,129.44,19.31
ICHR,Ichor Holdings - Ordinary Shares,89.45,99.2,-0.0,69.87,44.34,38.03,89.47,14.06
DOCN,"DigitalOcean Holdings, Inc. Common Stock",177.81,99.2,-1.9,135.94,84.2,72.75,181.29,25.74
VPG,"Vishay Precision Group, Inc. Common Stock",133.45,99.2,-8.6,89.41,57.75,51.64,146.03,25.68
CHRN,ChronoScale Corporation - Common Stock,20.61,99.1,-11.8,14.65,10.32,8.93,23.36,2.82
VSH,"Vishay Intertechnology, Inc. Common Stock",60.33,99.1,-5.7,39.83,24.44,22.23,63.97,11.67
MRVL,"Marvell Technology, Inc. - Common Stock",289.54,99.1,-8.5,194.02,121.96,111.77,316.43,62.19
EVC,Entravision Communications Corporation Common Stock,9.4,99.0,-5.3,6.68,4.19,3.7,9.93,1.91
HUT,Hut 8 Corp. - Common Stock,118.88,99.0,-10.6,97.13,65.54,59.3,133.02,15.89
TNGX,"Tango Therapeutics, Inc. - Common Stock",32.29,99.0,-1.9,24.21,16.4,14.24,32.9,4.8
AIP,"Arteris, Inc.  - Common Stock",42.14,98.9,-3.4,31.17,20.91,18.61,43.63,8.28
VELO,"Velo3D, Inc. - Common stock",25.56,98.9,-16.5,17.4,13.59,11.29,30.61,2.97
SYRE,"Spyre Therapeutics, Inc. - Common Stock",87.49,98.9,0.0,72.0,47.67,40.53,87.49,14.68
UCTT,"Ultra Clean Holdings, Inc. - Common Stock",111.61,98.9,-1.7,84.51,56.59,49.27,113.55,19.93
NBIS,Nebius Group N.V. - Class A Ordinary Shares,280.91,98.8,0.0,193.96,129.31,123.94,280.91,44.3
ALMS,Alumis Inc. - Common Stock,23.05,98.7,-23.1,22.96,20.52,16.5,29.98,2.8
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,267.13,98.7,-7.4,237.84,165.06,142.11,288.53,38.96
WATT,Energous Corporation - Common Stock,26.96,98.7,-23.7,25.86,14.47,12.84,35.33,3.76
TTMI,"TTM Technologies, Inc. - Common Stock",202.7,98.7,-1.9,159.48,110.58,97.07,206.66,36.4
