Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,113,303,-2.1,"ZIM, ALDF, ATRC, YCY, QUMS"
Financial Services,70,227,-2.2,"ALIS, RDAG, SDHI, NSTS, LPBB"
Energy,8,18,-1.6,"DK, PBT, OKE, PSX, PBF"
Healthcare,7,35,-2.8,"MCTA, TTRX, KRSA, OSCR, PHVS"
Industrials,6,28,-2.6,"OESX, ATKR, ABM, CIX, GIC"
Basic Materials,3,7,-2.2,"MNTK, VHI, GGB, SXT, SXC"
Communication Services,2,10,-2.5,"TJGC, VZ, IDT, ZD, GSAT"
Consumer Cyclical,2,10,-2.7,"GBTG, HZO, PAG, BZH, CZR"
Technology,2,12,-2.7,"SLAB, RAMP, SAIC, SCSC, IMMR"
Real Estate,2,12,-3.2,"CHMI, LXP, EFC, IHS, DEA"
Utilities,2,10,-1.5,"WTRG, AWK, GNE, YORW, NWE"
Consumer Defensive,0,6,-3.9,"SPB, HNST, KO, TGT, ACU"
