Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
CCG,Cheche Group Inc. - Class A Ordinary Shares,13.49,100.0,-5.5,4.04,1.86,1.63,14.27,0.37
TOP,TOP Financial Group Limited - Class A Ordinary Shares,10.84,99.9,-10.0,3.17,1.67,1.53,12.05,0.62
BANL,CBL International Limited - Class B Ordinary Shares,6.09,99.9,0.0,1.72,0.89,0.78,6.09,0.29
ERAS,"Erasca, Inc. - Common Stock",18.58,99.6,-17.3,16.62,14.08,11.29,22.47,1.4
FBRX,"Forte Biosciences, Inc.  - Common Stock",76.78,99.5,-0.3,38.28,31.48,28.24,76.98,10.18
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",11.77,99.5,-23.8,10.95,7.01,5.78,15.45,1.39
CLYM,"Climb Bio, Inc. - Common Stock",14.39,99.5,0.0,12.42,9.03,7.41,14.39,1.61
DMRA,"Damora Therapeutics, Inc. - Ordinary Shares",31.0,99.4,-9.2,26.76,25.99,24.58,34.14,2.58
ANTX,"AN2 Therapeutics, Inc. - Common Stock",6.28,99.4,0.0,4.85,3.53,2.93,6.28,1.03
AEHR,Aehr Test Systems - Common Stock,129.23,99.4,0.0,92.84,67.4,56.31,129.23,17.38
ORKA,"Oruka Therapeutics, Inc. - Common Stock",107.4,99.3,0.0,84.68,59.6,51.95,107.4,13.95
BFLY,"Butterfly Network, Inc. Class A Common Stock",9.45,99.3,-2.6,7.21,5.18,4.62,9.7,1.38
TXG,"10x Genomics, Inc. - Common Stock",57.75,99.2,-1.4,40.71,27.82,24.93,58.57,11.34
SYRE,"Spyre Therapeutics, Inc. - Common Stock",104.09,99.2,-1.2,90.82,63.25,54.45,105.33,14.82
STTK,"Shattuck Labs, Inc. - Common Stock",7.49,99.2,-5.4,6.28,5.84,5.03,7.92,0.76
TWST,Twist Bioscience Corporation - Common Stock,125.21,99.1,0.0,90.1,62.88,54.97,125.21,24.16
BLZE,"Backblaze, Inc. - Common Stock",19.34,99.1,-2.3,13.18,7.57,7.13,19.79,3.31
ANRO,"Alto Neuroscience, Inc. Common Stock",29.18,99.1,0.0,24.82,22.01,20.11,29.18,3.06
MAAS,Maase Inc. - Class A Ordinary Shares,16.42,99.0,-22.7,15.75,9.91,8.45,21.24,2.86
YARW,"Yarrow Bioscience, Inc. - Common Stock",42.77,99.0,-0.4,23.73,19.38,17.48,42.94,8.1
ATEX,Anterix Inc. - Common Stock,88.8,98.9,-17.9,88.5,54.99,46.38,108.21,17.99
PRLD,Prelude Therapeutics Incorporated - Common Stock,5.73,98.9,0.0,4.43,3.7,3.22,5.73,0.83
LITE,Lumentum Holdings Inc. - Common Stock,932.47,98.9,-11.5,816.89,739.06,628.44,1053.09,114.62
ALMS,Alumis Inc. - Common Stock,25.55,98.8,-15.7,25.48,24.9,20.62,30.3,3.95
RLAY,"Relay Therapeutics, Inc. - Common Stock",20.07,98.8,-3.3,17.63,13.11,11.69,20.75,3.22
DELL,Dell Technologies Inc. Class C Common Stock ,484.5,98.8,0.0,419.11,255.9,225.75,484.5,110.54
MBX,"MBX Biosciences, Inc. - Common Stock",66.97,98.7,-5.3,52.27,39.75,36.59,70.7,9.74
QMCO,Quantum Corporation - Common Stock,21.93,98.7,0.0,12.29,8.57,8.44,21.93,4.31
APPS,"Digital Turbine, Inc. - Common Stock",12.41,98.7,-13.8,10.15,6.19,5.97,14.39,2.82
RVMD,"Revolution Medicines, Inc. - Common Stock",205.26,98.7,-0.8,177.14,135.71,119.37,206.97,34.7
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",112.41,98.6,-0.2,95.52,78.65,68.93,112.64,18.76
CDNA,"CareDx, Inc. - Common Stock",47.31,98.6,-1.1,31.67,23.53,21.99,47.85,11.57
SAIH,SAIHEAT Limited - Class A Ordinary Shares,22.28,98.5,-1.3,14.18,10.69,10.08,22.58,5.65
FTH,"Faeth Therapeutics, Inc.  - Common Stock",29.38,98.4,-18.8,23.64,22.87,19.42,36.16,7.49
PLSE,"Pulse Biosciences, Inc - Common Stock",43.32,98.4,-2.4,29.53,23.14,21.05,44.4,12.66
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,260.31,98.3,-17.8,244.92,197.7,174.63,316.85,46.1
FSLY,"Fastly, Inc. - Class A Common Stock",28.53,98.3,-14.8,20.23,19.77,17.42,33.5,6.85
RLYB,Rallybio Corporation - Common Stock,16.59,98.3,-1.7,15.99,10.99,9.59,16.87,3.98
ALOT,"AstroNova, Inc. - Common Stock",28.92,98.3,-0.1,25.04,15.51,13.72,28.94,7.01
ABSI,Absci Corporation - Common Stock,9.5,98.2,-18.2,8.59,5.22,4.79,11.62,2.3
ROMA,Roma Green Finance Limited - Class A Ordinary Shares,8.71,98.2,-15.8,8.32,5.71,4.92,10.34,1.3
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",6.74,98.2,0.0,4.55,3.79,3.44,6.74,1.81
NESR,National Energy Services Reunited Corp - Ordinary Shares,34.82,98.2,-3.3,27.16,23.85,21.36,36.01,6.65
SEPN,"Septerna, Inc. - Common Stock",48.19,98.1,0.0,34.88,28.93,27.8,48.19,10.93
IMMX,"Immix Biopharma, Inc. - Common Stock",11.37,98.1,-5.4,9.49,8.63,7.63,12.02,1.96
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",11.53,98.1,-13.9,9.42,7.65,6.72,13.39,2.28
VSXY,Victorias Secret & Co. Common Stock ,93.02,98.1,-7.0,81.25,62.84,57.77,99.97,21.12
PAYS,"Paysign, Inc. - Common Stock",12.8,98.0,0.0,8.5,6.1,5.9,12.8,3.18
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,13.87,97.9,-2.8,11.61,9.03,7.84,14.27,3.06
GLBS,Globus Maritime Limited - Common Stock,3.61,97.9,-1.9,2.77,2.19,1.99,3.68,1.0
BDSX,"Biodesix, Inc. - Common Stock",24.22,97.8,-2.6,19.72,15.11,13.17,24.86,5.46
HPE,Hewlett Packard Enterprise Company Common Stock,58.79,97.8,0.0,48.34,32.99,30.5,58.79,19.72
PACS,"PACS Group, Inc. Common Stock",45.47,97.7,-6.2,41.66,37.99,34.6,48.45,7.71
NBIS,Nebius Group N.V. - Class A Ordinary Shares,259.2,97.7,-9.6,221.83,160.84,145.01,286.69,64.06
LQDA,Liquidia Corporation - Common Stock,78.79,97.7,-13.4,77.0,52.85,47.22,91.03,21.2
KOD,Kodiak Sciences Inc - Common Stock,43.41,97.7,-6.5,38.3,34.04,31.09,46.44,7.9
NDLS,Noodles & Company - Class A Common Stock,16.43,97.7,-11.3,14.12,9.89,8.88,18.53,3.9
APGE,"Apogee Therapeutics, Inc. - Common Stock",134.55,97.6,-0.2,118.12,90.9,84.93,134.84,34.65
FTK,"Flotek Industries, Inc. Common Stock",37.17,97.6,-4.3,25.75,20.08,19.07,38.82,11.04
FRD,Friedman Industries Inc. - Common Stock,44.95,97.6,0.0,33.18,23.91,23.03,44.95,15.32
FET,"Forum Energy Technologies, Inc. Common Stock",82.86,97.5,-0.3,55.88,54.7,49.24,83.07,22.71
CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",84.46,97.5,0.0,59.76,48.01,47.26,84.46,26.85
PSNL,"Personalis, Inc. - Common Stock",14.21,97.5,-10.0,12.46,9.3,9.19,15.79,4.5
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,7.91,97.4,-0.6,6.5,4.81,4.32,7.96,1.9
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",87.25,97.4,-2.6,80.32,71.33,66.76,89.59,16.42
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",57.92,97.3,-5.2,49.5,39.32,34.33,61.11,15.14
LCUT,"Lifetime Brands, Inc. - Common Stock",9.53,97.3,-1.0,8.64,6.24,5.57,9.63,2.91
UMAC,"Unusual Machines, Inc. Common Stock",27.03,97.3,-19.1,22.49,17.8,16.12,33.42,7.76
SPHR,Sphere Entertainment Co. Class A Common Stock,175.09,97.2,0.0,150.55,127.22,115.51,175.09,38.7
MKDW,MKDWELL Tech Inc. - Ordinary Shares,10.85,97.1,-9.6,10.47,6.74,6.5,12.0,1.95
URGN,UroGen Pharma Ltd. - Ordinary Shares,49.0,97.1,0.0,36.51,26.79,25.84,49.0,16.42
BOLD,"Boundless Bio, Inc. - Common Stock",2.78,97.0,-3.8,2.19,1.58,1.49,2.89,1.05
PVLA,"Palvella Therapeutics, Inc. - Common Stock",155.07,97.0,-1.7,133.97,119.05,111.61,157.77,39.05
OABI,"OmniAb, Inc. - Common Stock",3.42,97.0,0.0,2.36,1.97,1.92,3.42,1.36
PKOH,Park-Ohio Holdings Corp. - Common Stock,49.38,97.0,-6.0,37.48,29.68,27.41,52.51,17.45
MEI,"Methode Electronics, Inc. Common Stock",16.96,96.9,-12.4,14.61,10.07,9.27,19.36,5.0
PBF,PBF Energy Inc. Class A Common Stock,70.34,96.9,-3.8,53.18,43.84,40.9,73.1,21.21
FATE,"Fate Therapeutics, Inc. - Common Stock",2.72,96.8,-12.5,2.49,1.78,1.61,3.11,0.94
GH,"Guardant Health, Inc. - Common Stock",165.11,96.8,-3.3,146.93,114.31,109.86,170.77,50.39
LIND,Lindblad Expeditions Holdings Inc.  - Common Stock,34.22,96.7,0.0,26.89,21.19,19.07,34.22,11.45
VSTS,Vestis Corporation Common Stock,14.16,96.7,-14.2,14.05,10.23,9.2,16.5,4.06
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",41.58,96.6,-15.2,37.93,27.27,24.68,49.03,14.35
TVTX,"Travere Therapeutics, Inc. - Common Stock",62.16,96.6,-1.0,55.19,41.12,39.53,62.76,17.23
PMTS,CPI Card Group Inc. - Common Stock,29.57,96.6,-3.0,20.28,16.71,16.24,30.5,11.29
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",5.84,96.5,-8.2,5.14,4.22,3.84,6.36,1.57
PGEN,"Precigen, Inc. - Common Stock",6.85,96.5,-5.3,5.33,4.52,4.4,7.23,1.74
AMWL,American Well Corporation Class A Common Stock,12.65,96.5,-6.8,10.03,7.17,6.5,13.58,3.78
LFST,"LifeStance Health Group, Inc. - Common Stock",12.23,96.4,0.0,9.9,8.01,7.56,12.23,3.86
CSTE,Caesarstone Ltd. - Ordinary Shares,3.0,96.4,0.0,2.11,1.77,1.67,3.0,0.62
VSAT,"ViaSat, Inc. - Common Stock",87.23,96.3,-2.9,73.08,59.74,53.72,89.81,25.55
CLMT,"Calumet, Inc - Common Stock",47.19,96.3,0.0,38.13,31.81,28.73,47.19,13.23
CAKE,The Cheesecake Factory Incorporated - Common Stock,117.29,96.3,0.0,83.14,67.37,62.6,117.29,42.61
ATI,ATI Inc. Common Stock,230.43,96.2,0.0,193.81,162.14,147.02,230.43,71.34
OVID,Ovid Therapeutics Inc. - Common Stock,2.62,96.2,-11.5,2.46,2.26,2.07,2.96,0.55
SILC,Silicom Ltd - Ordinary Shares,46.59,96.1,-8.6,42.8,31.04,27.04,50.98,13.5
PANW,"Palo Alto Networks, Inc. - Common Stock",387.01,96.1,0.0,322.27,228.4,220.68,387.01,141.67
TORO,Toro Corp. - Common stock,5.8,96.1,-14.5,5.1,4.32,3.89,6.78,1.61
ALNT,Allient Inc. - Common Stock,114.28,96.0,0.0,92.41,74.39,69.23,114.28,41.9
ANIK,Anika Therapeutics Inc. - Common Stock,22.03,96.0,0.0,15.98,13.93,12.87,22.03,8.11
DK,"Delek US Holdings, Inc. Common Stock",67.22,96.0,-0.7,54.42,43.86,41.85,67.71,20.02
FORM,"FormFactor, Inc. - Common Stock",128.77,95.9,-19.5,122.18,110.77,96.56,159.93,27.85
EWTX,"Edgewise Therapeutics, Inc. - Common Stock",43.56,95.8,-9.9,39.77,33.83,30.85,48.35,13.39
IRDM,Iridium Communications Inc - Common Stock,49.65,95.8,-10.9,48.03,35.7,31.03,55.72,15.57
GHRS,GH Research PLC - Ordinary Shares,30.24,95.7,-1.3,25.72,19.9,18.35,30.64,11.8
PUBM,"PubMatic, Inc. - Class A Common Stock",17.18,95.6,-3.4,12.9,9.92,9.65,17.78,6.28
PTGX,"Protagonist Therapeutics, Inc. - Common Stock",152.01,95.6,0.0,124.21,103.88,99.07,152.01,50.96
RRGB,"Red Robin Gourmet Burgers, Inc. - Common Stock",8.16,95.6,-3.3,6.71,4.76,4.66,8.44,2.59
ONTO,Onto Innovation Inc. Common Stock,337.35,95.6,-10.9,298.0,254.12,226.98,378.45,101.95
ATRO,Astronics Corporation - Common Stock,87.89,95.5,0.0,73.64,63.79,58.05,87.89,23.95
HBB,Hamilton Beach Brands Holding Company Class A Common Stock ,32.99,95.5,-0.4,22.32,19.91,18.69,33.12,12.68
FOSL,"Fossil Group, Inc. - Common Stock",5.27,95.4,-13.5,4.42,4.32,3.96,6.09,1.67
DGII,Digi International Inc. - Common Stock,85.24,95.4,0.0,70.04,57.48,53.34,85.24,31.85
RCEL,"Avita Medical, Inc. - Common Stock",8.12,95.4,-1.0,4.66,4.41,4.22,8.2,3.27
BWEN,"Broadwind, Inc. - Common Stock",5.44,95.3,0.0,4.51,3.33,3.19,5.44,1.97
NRIX,"Nurix Therapeutics, Inc. - Common stock",26.63,95.3,0.0,21.3,18.12,17.5,26.63,8.24
COGT,"Cogent Biosciences, Inc. - Common Stock",38.98,95.3,-9.0,37.36,36.65,35.38,42.84,10.86
TER,"Teradyne, Inc. - Common Stock",402.74,95.2,-16.8,382.9,337.2,299.02,483.84,109.02
AGEN,Agenus Inc. - Common Stock,6.9,95.2,-16.9,4.69,3.91,3.91,8.3,2.77
PLPC,Preformed Line Products Company - Common Stock,468.03,95.2,-2.6,373.74,315.89,290.08,480.77,158.6
RNG,"RingCentral, Inc. Class A Common Stock",62.88,95.1,-1.9,45.06,38.75,36.21,64.1,24.69
AXGN,"Axogen, Inc. - Common Stock",49.67,95.0,0.0,42.91,37.63,34.92,49.67,13.9
OPHC,"OptimumBank Holdings, Inc. Common Stock",8.95,94.9,-3.0,6.43,5.6,5.24,9.23,3.91
CGEM,"Cullinan Therapeutics, Inc. - Common Stock",19.6,94.9,-0.2,16.68,14.56,13.31,19.63,5.75
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",23.35,94.9,-3.5,17.52,15.63,15.08,24.19,7.64
HZO,"MarineMax, Inc.  (FL) Common Stock",52.13,94.9,-0.6,35.95,31.21,29.49,52.46,21.43
CRSR,"Corsair Gaming, Inc. - Common Stock",12.92,94.8,-10.0,9.88,7.41,7.19,14.35,4.58
IMUX,"Immunic, Inc.  - Common Stock",15.93,94.8,0.0,14.36,11.35,10.24,15.93,5.1
ENVA,"Enova International, Inc. Common Stock",260.4,94.8,-1.0,223.51,176.85,167.36,263.02,104.01
MCS,Marcus Corporation (The) Common Stock,29.66,94.7,-4.7,23.78,19.13,18.08,31.12,12.87
IMVT,"Immunovant, Inc.  - Common Stock",42.6,94.7,0.0,37.2,30.25,28.62,42.6,14.69
RAPP,"Rapport Therapeutics, Inc. - Common Stock",47.73,94.7,-2.2,40.2,34.22,32.65,48.82,14.24
COHU,"Cohu, Inc. - Common Stock",56.14,94.7,-24.0,56.13,42.2,37.53,73.91,18.74
CTRN,"Citi Trends, Inc. - Common Stock",74.02,94.6,-2.8,59.3,50.17,47.88,76.18,30.74
DSGN,"Design Therapeutics, Inc. - Common Stock",14.66,94.6,-7.2,12.73,11.71,10.84,15.79,3.97
XMAX,"XMAX, Inc. - Common Stock",8.91,94.6,-4.6,8.64,7.42,6.99,9.34,1.66
KRT,Karat Packaging Inc. - Common Stock,48.26,94.5,-3.6,34.78,28.85,27.11,50.06,19.92
MAN,ManpowerGroup Common Stock,56.22,94.5,-0.7,42.13,33.28,32.03,56.6,25.16
INNV,InnovAge Holding Corp. - Common Stock,10.43,94.5,-13.9,10.19,8.47,7.66,12.11,3.23
NTAP,"NetApp, Inc. - Common Stock",202.05,94.5,0.0,168.8,127.38,123.2,202.05,93.35
CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",221.78,94.4,-1.5,188.37,139.18,136.25,225.16,87.56
PARR,"Par Pacific Holdings, Inc.  Common Stock",77.78,94.4,-9.5,64.89,56.19,52.39,85.91,27.23
