Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,120,356,-2.2,"ALDF, ZETA, YCY, TFX, SAFT"
Financial Services,64,195,-2.2,"SDHI, SVCC, CHAR, CSWC, CLST"
Healthcare,13,36,-2.4,"EOLS, MCTA, APGE, BIVI, OGN"
Industrials,8,28,-2.5,"ATKR, ECO, CIX, DE, EXPD"
Technology,8,22,-2.2,"FIVN, MSI, SLAB, SAIC, CHYM"
Energy,3,19,-2.2,"DK, PSX, SMC, OKE, SM"
Consumer Cyclical,3,12,-2.6,"JRSH, GBTG, HZO, CZR, PAG"
Communication Services,3,14,-2.4,"TJGC, RDI, VZ, NWSA, OMC"
Consumer Defensive,2,7,-2.7,"HNST, SENEA, ACU, CCEP, KO"
Basic Materials,2,4,-1.7,"VHI, SXC, SXT, AVNT"
Real Estate,2,12,-2.9,"CHMI, LXP, UMH, EFC, DEA"
Utilities,1,8,-2.8,"WTRG, YORW, AWR, TXNM, AWK"
