Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
SNDK,Sandisk Corporation - Common Stock When-Issued,1991.55,100.0,-5.5,1346.82,748.25,593.06,2107.86,40.69
AGL,"agilon health, inc. Common Stock",113.27,99.9,-2.5,60.54,30.93,29.6,116.16,7.91
WDC,Western Digital Corporation - Common Stock,681.08,99.8,0.0,463.73,306.67,259.48,681.08,57.25
MXL,"MaxLinear, Inc - Common Stock",84.39,99.8,-17.5,69.23,34.7,30.03,102.27,12.11
AAOI,"Applied Optoelectronics, Inc. - Common Stock",170.81,99.8,-23.4,168.26,90.83,75.48,223.1,16.78
MU,"Micron Technology, Inc. - Common Stock",1020.76,99.7,-6.2,704.94,460.85,390.92,1087.99,104.73
OPTX,"Syntec Optics Holdings, Inc. - Class A Common Stock",11.38,99.7,-19.3,9.84,6.39,5.3,14.11,1.24
BE,Bloom Energy Corporation Class A Common Stock,280.88,99.7,-8.8,254.7,171.5,151.53,307.88,21.34
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",20.16,99.6,-14.4,17.11,8.79,7.96,23.54,3.14
QTTB,Q32 Bio Inc. - Common Stock,12.75,99.6,-8.9,7.75,5.31,4.58,14.0,1.36
AEHR,Aehr Test Systems - Common Stock,104.83,99.6,-10.1,92.18,50.0,44.34,116.58,11.15
RXT,"Rackspace Technology, Inc. - Common Stock",6.21,99.5,-14.8,3.55,1.95,1.83,7.29,0.41
STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),1031.34,99.5,0.0,737.36,475.27,412.15,1031.34,129.2
CLYM,"Climb Bio, Inc. - Common Stock",10.71,99.4,-12.4,10.16,6.52,5.41,12.22,1.18
HYLN,Hyliion Holdings Corp. Class A Common Stock,7.43,99.4,-2.5,3.99,2.63,2.48,7.62,1.32
MAAS,Maase Inc. - Class A Ordinary Shares,15.88,99.4,0.0,9.99,6.81,5.99,15.88,2.53
VSH,"Vishay Intertechnology, Inc. Common Stock",60.41,99.3,-5.6,39.0,24.13,22.0,63.97,11.67
VPG,"Vishay Precision Group, Inc. Common Stock",138.44,99.3,-5.2,87.67,57.08,51.11,146.03,25.68
INTC,Intel Corporation - Common Stock,117.05,99.3,-9.6,98.56,61.52,54.48,129.44,19.31
VICR,Vicor Corporation - Common Stock,320.46,99.3,-7.3,267.49,182.58,152.49,345.84,43.83
DOCN,"DigitalOcean Holdings, Inc. Common Stock",174.18,99.3,-3.9,134.11,83.36,72.02,181.29,25.74
TNGX,"Tango Therapeutics, Inc. - Common Stock",32.16,99.2,-2.2,23.96,16.24,14.11,32.9,4.79
OCC,Optical Cable Corporation - Common Stock,20.23,99.2,-24.9,12.99,8.66,8.55,26.92,2.62
VATE,INNOVATE Corp. Common Stock,17.27,99.2,-9.6,13.02,7.74,7.05,19.1,3.98
ICHR,Ichor Holdings - Ordinary Shares,85.77,99.2,-4.1,69.06,43.85,37.66,89.47,14.06
HUT,Hut 8 Corp. - Common Stock,121.48,99.1,-8.7,95.8,65.06,58.84,133.02,15.89
MRVL,"Marvell Technology, Inc. - Common Stock",278.67,99.1,-11.9,190.41,120.65,110.63,316.43,62.19
AIP,"Arteris, Inc.  - Common Stock",41.56,99.1,-4.7,30.69,20.73,18.44,43.63,8.22
UCTT,"Ultra Clean Holdings, Inc. - Common Stock",109.31,99.1,-3.7,83.55,56.03,48.84,113.55,19.93
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,268.53,99.0,-6.9,236.32,163.94,141.07,288.53,38.96
CHRN,ChronoScale Corporation - Common Stock,19.13,99.0,-18.1,14.42,10.22,8.84,23.36,2.82
EVC,Entravision Communications Corporation Common Stock,9.14,99.0,-8.4,6.59,4.17,3.68,9.98,1.92
BRUN,Boost Run Inc. - Class A Common Stock,35.92,98.9,-8.4,22.65,15.26,14.45,39.2,10.19
SYRE,"Spyre Therapeutics, Inc. - Common Stock",83.41,98.9,-0.2,71.28,47.23,40.17,83.58,14.68
WATT,Energous Corporation - Common Stock,27.68,98.8,-21.7,25.62,14.34,12.74,35.33,3.76
VELO,"Velo3D, Inc. - Common stock",25.04,98.7,-18.2,17.08,13.45,11.18,30.61,2.97
TTMI,"TTM Technologies, Inc. - Common Stock",199.58,98.7,-3.4,157.42,109.69,96.28,206.66,36.4
NBIS,Nebius Group N.V. - Class A Ordinary Shares,265.1,98.6,0.0,190.69,128.17,122.88,265.1,44.3
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",7.53,98.5,-19.1,6.39,4.51,3.84,9.31,1.39
