Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,182,425,-1.9,"ADPT, AMCX, ACAD, TECK, TFX"
Financial Services,72,231,-2.3,"TRIN, STT, CAPN, MKLY, PROV"
Healthcare,34,60,-1.2,"ACRS, SOLV, AGEN, CADL, BFRI"
Industrials,15,33,-1.8,"EXPD, GIC, ATKR, DAC, USEA"
Communication Services,11,18,-1.0,"RDI, ROKU, IDT, VZ, NWS"
Technology,9,16,-1.4,"MLAB, MSI, DHX, USIO, CHYM"
Real Estate,8,26,-2.4,"JLL, LXP, DEA, CHMI, SELF"
Consumer Cyclical,6,26,-2.4,"ABNB, EXPE, GBTG, HZO, CART"
Basic Materials,5,6,-0.8,"SXC, MAKO, FCX, SXT, VHI"
Energy,3,9,-2.4,"PBT, INSW, LPG, NAT, PR"
Consumer Defensive,2,10,-1.9,"HNST, KO, ACU, CCEP, STRA"
Utilities,2,11,-2.3,"YORW, AWR, WTRG, ENIC, GNE"
