Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Financial Services,246,333,-0.7,"AUB, AXS, BAC, AIZ, ALL"
Unknown,236,451,-1.5,"ACHC, WLY, WLYB, ATEN, AVBC"
Healthcare,31,69,-1.7,"WST, ASTH, ALHC, XOMA, DNLI"
Real Estate,22,55,-1.7,"AAT, AHR, CBL, OLP, CUZ"
Industrials,21,52,-2.0,"ALGT, ACCO, SNA, VSEC, CSX"
Technology,13,32,-1.9,"CCSI, USIO, FLYW, FTNT, FFIV"
Communication Services,11,17,-0.9,"TDAY, BATRA, EA, PSO, LLYVA"
Consumer Cyclical,10,30,-2.0,"XMAX, SGHC, REYN, NDLS, ABNB"
Consumer Defensive,7,15,-1.2,"BOF, SENEA, PFGC, MNST, JBSS"
Basic Materials,2,6,-1.5,"LIN, ODC, SXT, KOP, CTVA"
Energy,2,4,-2.4,"DK, WKC, DTM, FTK"
Utilities,1,19,-2.7,"AWR, EVRG, PNW, IDA, LNT"
