Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,118,338,-2.0,"CVLG, ALOT, EAT, DINO, BJRI"
Financial Services,60,310,-2.2,"CAPN, DRDB, CLBK, SVCC, AXS"
Real Estate,26,53,-1.4,"CBL, NXDT, CTO, WELL, LXP"
Healthcare,8,34,-2.3,"CVS, SOPH, IKT, APGE, AVNS"
Technology,5,15,-2.4,"CNXN, KARO, RAMP, DHX, SCSC"
Energy,5,13,-2.1,"DK, WTTR, PBF, PSX, TRGP"
Consumer Cyclical,4,28,-2.6,"TMHC, RSI, SGHC, YETI, GBTG"
Communication Services,3,12,-2.2,"ZD, EA, ROKU, MSGS, SCHL"
Industrials,2,32,-2.7,"XMTR, HXL, KFY, TBI, CHRW"
Basic Materials,2,3,-1.6,"KOP, CTVA, GGB"
Utilities,2,15,-3.0,"AWR, EIX, NJR, OGE, NWE"
Consumer Defensive,1,10,-3.0,"FMX, TGT, SPB, CCEP, KO"
