Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,145,304,-1.8,"ZIM, TMO, TK, TAK, ATRC"
Financial Services,55,192,-2.3,"CPBI, HRTG, HTGC, CCAQ, SVCC"
Healthcare,16,39,-1.8,"RVTY, TTRX, GH, SGMT, MCTA"
Technology,12,22,-1.6,"RBRK, NET, DHX, FFIV, KARO"
Industrials,8,22,-1.8,"MTW, GIC, DAC, ECO, ETS"
Energy,5,11,-1.9,"NAT, PSX, LPG, INSW, DK"
Consumer Cyclical,5,10,-1.8,"JILL, VNCE, HZO, JRSH, GBTG"
Utilities,3,7,-2.6,"GNE, TXNM, WTRG, AWK, YORW"
Communication Services,2,9,-2.7,"ZD, DV, GSAT, IDT, NWSA"
Basic Materials,1,2,-2.2,"GGB, NUE"
Real Estate,1,5,-2.8,"LXP, PSTL, IHS, CHMI, UMH"
Consumer Defensive,0,3,-3.5,"ACU, KO, SPB"
