Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
BANL,CBL International Limited - Class B Ordinary Shares,15.2,100.0,-0.3,5.03,2.0,1.6,15.24,0.29
CCG,Cheche Group Inc. - Class A Ordinary Shares,15.09,100.0,-12.3,9.22,3.54,2.88,17.21,0.37
MGRT,Mega Fortune Company Limited - Ordinary Shares,107.99,99.8,-24.1,89.35,67.56,52.34,142.2,3.32
LGVN,Longeveron Inc. - Class A Common stock,6.75,99.8,-2.2,0.95,0.84,0.78,6.9,0.48
NRDY,Nerdy Inc. Class A Common Stock,9.78,99.8,-22.6,4.88,2.22,1.95,12.63,0.73
GAME,"GameSquare Holdings, Inc. - Common stock",3.03,99.6,-17.0,0.72,0.49,0.48,3.65,0.25
BRCC,BRC Inc. Class A Common Stock,8.27,99.6,-3.5,1.81,1.29,1.26,8.57,0.62
XHLD,"TEN Holdings, Inc. - Common Stock",9.42,99.5,0.0,3.4,2.21,2.15,9.42,0.8
GLMD,Galmed Pharmaceuticals Ltd. - Ordinary Shares,3.92,99.5,-21.0,2.07,1.11,1.06,4.97,0.47
MRNA,"Moderna, Inc. - Common Stock",154.27,99.4,-11.5,80.21,59.94,52.97,174.38,22.36
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",13.22,99.4,-14.5,12.54,7.9,6.62,15.46,1.39
CLYM,"Climb Bio, Inc. - Common Stock",14.82,99.3,-16.9,13.84,10.17,8.45,17.84,1.64
ANTX,"AN2 Therapeutics, Inc. - Common Stock",5.48,99.2,-12.7,5.25,4.0,3.29,6.28,1.03
TJGC,TJGC Group Limited - Class A Ordinary Shares,10.02,99.2,-0.6,4.94,4.03,3.79,10.08,1.5
ANRO,"Alto Neuroscience, Inc. Common Stock",35.2,99.1,-3.6,28.99,23.79,21.8,36.53,3.51
TWST,Twist Bioscience Corporation - Common Stock,132.06,99.0,-13.7,107.56,72.41,62.7,153.1,24.16
QMCO,Quantum Corporation - Common Stock,24.17,99.0,-7.4,14.89,10.04,9.44,26.11,4.31
TOP,TOP Financial Group Limited - Class A Ordinary Shares,15.51,98.9,-6.7,11.13,6.83,6.46,16.63,3.11
NVCT,"Nuvectis Pharma, Inc. - Common Stock",23.06,98.8,-19.2,20.79,13.07,11.64,28.53,5.65
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",60.43,98.8,-6.2,45.64,31.14,27.42,64.43,14.35
SAIH,SAIHEAT Limited - Class A Ordinary Shares,22.95,98.7,-4.4,16.97,11.85,11.03,24.0,5.65
PLSE,"Pulse Biosciences, Inc - Common Stock",52.09,98.6,0.0,35.89,26.42,23.33,52.09,12.66
IMMX,"Immix Biopharma, Inc. - Common Stock",14.01,98.6,-3.2,10.69,9.39,8.31,14.47,1.96
TXG,"10x Genomics, Inc. - Common Stock",59.98,98.6,-7.9,48.6,31.31,28.02,65.12,11.34
CDNA,"CareDx, Inc. - Common Stock",48.97,98.5,-6.5,38.81,26.25,24.38,52.36,12.73
ROMA,Roma Green Finance Limited - Class A Ordinary Shares,8.92,98.5,-13.7,8.89,6.52,5.45,10.34,1.3
BFLY,"Butterfly Network, Inc. Class A Common Stock",8.18,98.4,-15.7,8.09,5.57,5.04,9.7,1.5
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",8.28,98.4,-7.9,5.63,4.29,3.83,8.99,1.81
RVMD,"Revolution Medicines, Inc. - Common Stock",209.87,98.4,-5.1,194.53,146.85,131.91,221.15,38.95
FTH,"Faeth Therapeutics, Inc.  - Common Stock",34.51,98.3,-4.6,28.74,25.0,21.12,36.16,7.85
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",33.81,98.3,-14.8,22.82,17.46,16.44,39.66,9.38
PRAX,"Praxis Precision Medicines, Inc. - Common Stock",353.44,98.3,-8.5,335.84,322.01,304.57,386.33,37.71
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,13.96,98.2,-6.7,12.95,9.73,8.57,14.96,3.42
PRLD,Prelude Therapeutics Incorporated - Common Stock,5.49,98.2,-17.2,4.96,4.06,3.54,6.63,0.99
NCEW,New Century Logistics (BVI) Limited - Ordinary Shares,18.08,98.1,-12.7,17.1,14.28,12.04,20.7,3.01
LITE,Lumentum Holdings Inc. - Common Stock,868.95,98.1,-17.5,815.03,786.25,672.53,1053.09,132.55
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",11.28,98.0,-15.8,10.45,8.36,7.29,13.39,2.28
GLBS,Globus Maritime Limited - Common Stock,3.82,98.0,-0.8,3.19,2.39,2.18,3.85,1.01
BOLD,"Boundless Bio, Inc. - Common Stock",2.89,97.8,-3.7,2.62,1.74,1.6,3.0,1.05
RNXT,"RenovoRx, Inc. - Common Stock",2.11,97.8,0.0,1.1,0.98,0.97,2.11,0.73
RCEL,"Avita Medical, Inc. - Common Stock",10.07,97.7,-4.9,6.14,4.96,4.62,10.59,3.27
CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",84.95,97.7,0.0,73.86,50.9,50.23,84.95,30.65
OMER,Omeros Corporation - Common Stock,18.75,97.7,-3.0,12.83,12.13,11.91,19.32,4.03
PAYS,"Paysign, Inc. - Common Stock",12.4,97.6,-12.3,10.24,6.93,6.47,14.14,3.18
OABI,"OmniAb, Inc. - Common Stock",4.44,97.5,-7.7,2.81,2.17,2.1,4.81,1.36
TVTX,"Travere Therapeutics, Inc. - Common Stock",65.71,97.5,-2.7,59.74,44.46,41.94,67.52,18.15
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",106.62,97.5,-8.1,103.82,85.31,74.63,115.96,23.57
AGEN,Agenus Inc. - Common Stock,7.99,97.4,-4.4,5.97,4.29,4.17,8.36,2.77
APGE,"Apogee Therapeutics, Inc. - Common Stock",135.08,97.4,0.0,134.04,96.92,91.25,135.08,36.37
BDSX,"Biodesix, Inc. - Common Stock",25.07,97.4,-18.1,22.68,16.89,14.59,30.6,5.46
CLMT,"Calumet, Inc - Common Stock",51.52,97.3,0.0,42.24,34.74,30.98,51.52,16.3
PBF,PBF Energy Inc. Class A Common Stock,74.99,97.3,-0.3,61.07,47.21,43.17,75.2,25.55
CADL,"Candel Therapeutics, Inc. - Common Stock",12.85,97.2,-6.5,10.75,7.86,7.27,13.75,4.42
NESR,National Energy Services Reunited Corp - Ordinary Shares,34.72,97.2,-4.4,29.89,25.47,23.02,36.31,9.36
FET,"Forum Energy Technologies, Inc. Common Stock",82.25,97.2,-4.7,63.31,58.11,52.53,86.31,25.26
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",57.86,97.2,-5.4,54.78,42.3,36.88,61.15,15.14
FRD,Friedman Industries Inc. - Common Stock,43.95,97.1,-8.6,37.81,26.47,24.83,48.08,16.96
TORO,Toro Corp. - Common stock,6.11,97.1,-9.9,5.33,4.57,4.18,6.78,1.61
MNPR,Monopar Therapeutics Inc. - Common Stock,117.57,97.1,-5.1,106.83,74.55,74.41,123.84,33.93
RLYB,Rallybio Corporation - Common Stock,16.69,97.1,-1.8,16.29,12.2,10.53,17.0,3.99
