Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
BANL,CBL International Limited - Class B Ordinary Shares,4.76,99.8,-7.8,0.74,0.57,0.56,5.16,0.29
ERAS,"Erasca, Inc. - Common Stock",19.34,99.8,-13.9,15.01,13.0,10.42,22.47,1.39
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",12.34,99.7,-20.1,10.04,6.27,5.15,15.45,1.39
MU,"Micron Technology, Inc. - Common Stock",990.21,99.7,-18.4,952.2,589.98,498.24,1213.37,104.71
CLYM,"Climb Bio, Inc. - Common Stock",12.76,99.7,-8.9,11.94,8.35,6.75,14.0,1.4
EVC,Entravision Communications Corporation Common Stock,10.53,99.6,-21.9,10.16,5.59,4.8,13.48,1.91
ATEX,Anterix Inc. - Common Stock,100.42,99.6,-7.2,80.95,49.75,42.42,108.21,17.99
ALMS,Alumis Inc. - Common Stock,28.3,99.5,-6.6,24.42,23.6,19.28,30.3,3.84
CHRN,ChronoScale Holdings Corporation - Common Stock,22.57,99.5,-23.8,20.02,13.22,11.11,29.63,2.98
STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),913.36,99.4,-16.5,886.25,582.06,499.82,1093.26,146.06
STTK,"Shattuck Labs, Inc. - Common Stock",7.09,99.3,-10.0,5.98,5.48,4.66,7.88,0.73
SIF,"SIFCO Industries, Inc. Common Stock",24.93,99.3,-4.7,21.48,14.62,12.66,26.16,4.49
SYRE,"Spyre Therapeutics, Inc. - Common Stock",99.99,99.3,-2.6,84.43,58.17,49.93,102.7,14.82
MAAS,Maase Inc. - Class A Ordinary Shares,16.76,99.3,-21.1,13.98,8.91,7.61,21.24,2.86
LQDA,Liquidia Corporation - Common Stock,89.03,99.3,0.0,69.9,48.27,43.07,89.03,17.68
MBX,"MBX Biosciences, Inc. - Common Stock",63.57,99.2,-3.3,44.36,36.94,33.52,65.71,9.74
ANRO,"Alto Neuroscience, Inc. Common Stock",26.85,99.2,-4.3,23.45,21.32,18.91,28.07,3.05
ANTX,"AN2 Therapeutics, Inc. - Common Stock",4.92,99.1,-9.9,4.62,3.19,2.69,5.46,1.03
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",21.65,99.1,-18.3,20.46,11.86,10.23,26.51,3.14
ORKA,"Oruka Therapeutics, Inc. - Common Stock",91.95,99.1,-3.4,74.25,53.31,46.94,95.17,13.05
RLYB,Rallybio Corporation - Common Stock,16.39,99.1,-3.1,15.65,10.24,8.94,16.91,3.72
DELL,Dell Technologies Inc. Class C Common Stock ,439.34,99.0,-5.6,378.6,227.19,205.91,465.19,110.54
ICHR,Ichor Holdings - Ordinary Shares,94.02,99.0,-16.3,83.78,56.9,47.3,112.28,14.06
SLGL,Sol-Gel Technologies Ltd. - Ordinary Shares,80.55,98.9,-17.8,74.37,71.13,62.89,97.97,9.94
TXG,"10x Genomics, Inc. - Common Stock",48.06,98.9,0.0,33.51,24.73,22.3,48.06,11.34
SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",289.08,98.9,-14.2,288.65,182.92,159.97,336.9,71.49
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,260.42,98.8,-17.8,255.28,187.47,163.78,316.85,44.67
HUT,Hut 8 Corp. - Common Stock,117.67,98.7,-11.5,111.4,76.37,68.27,133.02,19.45
KOD,Kodiak Sciences Inc - Common Stock,41.02,98.7,-11.7,37.05,32.96,29.52,46.44,6.58
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,13.24,98.7,-2.5,11.02,8.37,7.28,13.57,2.9
RVMD,"Revolution Medicines, Inc. - Common Stock",188.75,98.6,-2.0,166.82,127.11,111.27,192.62,34.7
RLAY,"Relay Therapeutics, Inc. - Common Stock",19.09,98.6,-8.0,16.27,12.31,10.98,20.75,3.22
ALOT,"AstroNova, Inc. - Common Stock",28.68,98.6,-0.6,21.85,13.99,12.68,28.84,7.01
ROMA,Roma Green Finance Limited - Class A Ordinary Shares,8.88,98.5,-14.1,7.99,5.19,4.56,10.34,1.3
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",104.79,98.5,-0.9,90.24,73.3,64.51,105.72,18.76
BDSX,"Biodesix, Inc. - Common Stock",22.32,98.4,-8.9,17.93,13.95,12.32,24.5,5.46
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",44.14,98.3,0.0,34.19,24.61,22.88,44.14,14.13
BIOA,"BioAge Labs, Inc. - Common Stock",21.9,98.3,-12.7,20.04,18.76,16.09,25.1,4.12
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",86.78,98.1,-2.2,77.68,69.71,63.71,88.7,15.7
AMD,"Advanced Micro Devices, Inc. - Common Stock",539.69,98.0,-7.1,507.01,328.45,304.09,580.91,151.14
TNGX,"Tango Therapeutics, Inc. - Common Stock",27.45,98.0,-16.6,26.88,19.63,16.88,32.9,6.04
PACS,"PACS Group, Inc. Common Stock",44.82,97.9,-2.8,39.88,37.29,32.74,46.13,7.71
VSTS,Vestis Corporation Common Stock,15.59,97.9,-5.5,13.53,9.69,8.69,16.5,4.06
MEI,"Methode Electronics, Inc. Common Stock",16.03,97.9,-17.2,13.61,9.38,8.78,19.36,5.0
VSAT,"ViaSat, Inc. - Common Stock",74.27,97.9,-17.3,71.88,56.11,51.01,89.81,14.47
VSXY,Victorias Secret & Co. Common Stock ,82.79,97.8,-6.5,71.85,60.12,54.36,88.5,18.72
VNCE,Vince Holding Corp. - Common Stock,6.07,97.8,-22.9,5.63,4.0,3.71,7.87,1.42
FTH,"Faeth Therapeutics, Inc.  - Common Stock",27.76,97.8,-23.2,21.49,21.4,18.5,36.16,6.8
CDNA,"CareDx, Inc. - Common Stock",37.61,97.7,-6.8,26.28,21.59,20.26,40.34,11.57
NESR,National Energy Services Reunited Corp - Ordinary Shares,27.88,97.7,-6.8,26.42,22.8,20.32,29.93,6.37
NWPX,"NWPX Infrastructure, Inc. - Common Stock",132.76,97.7,-11.5,128.81,93.79,84.51,149.94,40.54
CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",83.65,97.5,-0.3,48.39,45.11,44.83,83.91,26.85
MRVI,"Maravai LifeSciences Holdings, Inc. - Class A common stock",7.05,97.4,-2.6,5.46,4.11,3.93,7.24,2.03
TVTX,"Travere Therapeutics, Inc. - Common Stock",56.68,97.4,-4.0,51.49,39.25,37.44,59.03,15.32
BTSG,"BrightSpring Health Services, Inc. - Common Stock",69.84,97.4,-3.7,64.44,49.55,45.41,72.56,19.36
APGE,"Apogee Therapeutics, Inc. - Common Stock",134.26,97.3,-0.0,106.44,86.67,80.34,134.29,34.65
TWST,Twist Bioscience Corporation - Common Stock,92.44,97.3,-10.1,79.07,57.51,50.86,102.88,24.16
URGN,UroGen Pharma Ltd. - Ordinary Shares,42.5,97.3,-2.9,33.41,25.29,24.38,43.78,16.42
DK,"Delek US Holdings, Inc. Common Stock",64.78,97.2,-3.6,49.86,41.2,40.03,67.19,19.43
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,6.99,97.2,-11.0,6.07,4.58,4.11,7.85,1.9
HPE,Hewlett Packard Enterprise Company Common Stock,47.64,97.1,-14.9,44.18,30.5,28.62,55.99,19.41
GH,"Guardant Health, Inc. - Common Stock",150.2,97.0,-12.0,135.93,110.13,104.75,170.77,40.98
BWEN,"Broadwind, Inc. - Common Stock",5.18,97.0,0.0,4.32,3.19,3.04,5.18,1.97
FTRE,Fortrea Holdings Inc. - Common Stock,19.5,97.0,0.0,16.26,13.97,13.34,19.5,5.46
AMAT,"Applied Materials, Inc. - Common Stock",562.8,96.9,-22.2,535.31,407.41,364.57,723.0,155.56
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",10.13,96.8,-24.3,8.9,7.12,6.26,13.39,2.28
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",5.48,96.8,-4.0,4.9,4.03,3.64,5.71,1.53
PBF,PBF Energy Inc. Class A Common Stock,61.95,96.7,-6.2,46.24,40.19,38.33,66.05,20.96
INNV,InnovAge Holding Corp. - Common Stock,11.19,96.7,-7.6,9.38,8.07,7.35,12.11,3.13
LASR,"nLIGHT, Inc. - Common Stock",73.0,96.6,-14.1,70.24,60.92,53.84,84.95,19.34
GLBS,Globus Maritime Limited - Common Stock,2.94,96.5,-7.3,2.52,2.08,1.88,3.17,1.0
GLUE,"Monte Rosa Therapeutics, Inc. - Common Stock",23.03,96.5,-9.0,20.43,19.32,17.78,25.31,4.19
PVLA,"Palvella Therapeutics, Inc. - Common Stock",143.21,96.5,-8.9,126.41,115.44,107.37,157.24,36.55
FATE,"Fate Therapeutics, Inc. - Common Stock",2.52,96.4,-19.0,2.38,1.64,1.54,3.11,0.92
CLMT,"Calumet, Inc - Common Stock",42.82,96.4,-3.1,35.96,30.15,27.41,44.17,13.23
RELL,"Richardson Electronics, Ltd. - Common Stock",21.82,96.3,0.0,17.3,13.82,13.0,21.82,9.29
SEZL,Sezzle Inc. - Common Stock,159.01,96.2,-15.7,143.2,95.19,88.08,188.55,50.97
MKDW,MKDWELL Tech Inc. - Ordinary Shares,12.0,96.2,0.0,9.7,6.35,6.26,12.0,1.95
LFST,"LifeStance Health Group, Inc. - Common Stock",10.81,96.1,-6.6,9.19,7.72,7.25,11.58,3.79
CRS,Carpenter Technology Corporation Common Stock,601.54,96.1,-2.9,530.94,428.72,396.07,619.25,231.97
QXL,Quantum X Labs Inc. - Common Stock,5.32,96.0,-22.3,4.87,2.93,2.82,6.85,1.04
ALXO,ALX Oncology Holdings Inc. - Common Stock,2.02,95.9,-22.3,1.89,1.84,1.76,2.6,0.51
CVLG,"Covenant Logistics Group, Inc. Class A Common Stock",48.23,95.9,-3.3,42.68,32.56,29.53,49.88,17.94
BOLD,"Boundless Bio, Inc. - Common Stock",2.52,95.9,-3.1,1.9,1.47,1.41,2.6,1.05
EWTX,"Edgewise Therapeutics, Inc. - Common Stock",39.29,95.9,-18.7,37.38,32.11,28.96,48.35,12.68
AMWL,American Well Corporation Class A Common Stock,10.77,95.9,-18.6,9.17,6.64,6.18,13.23,3.78
