Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,164,395,-1.9,"WBS, VIK, UTZ, NKSH, NMIH"
Financial Services,161,294,-1.4,"ALRS, ATLO, MCHB, NPAC, NWFL"
Industrials,15,42,-2.0,"ETN, DAC, ECO, CIX, ATKR"
Healthcare,9,35,-2.3,"OGN, BRKR, ELVN, BLFS, ANTX"
Consumer Cyclical,8,36,-2.1,"M, ESCA, ROST, MLKN, SHOO"
Technology,7,23,-2.2,"GRMN, CNXN, FIVN, KARO, NET"
Communication Services,6,17,-2.7,"CNK, EA, ROKU, TDAY, GSAT"
Real Estate,4,36,-2.9,"NREF, JLL, SKYH, PDM, LXP"
Consumer Defensive,2,14,-2.8,"TGT, PSMT, GHC, SPB, PFGC"
Basic Materials,2,6,-1.6,"GGB, SXT, RS, KOP, NUE"
Energy,1,11,-2.8,"INSW, FTK, PBT, EOG, DK"
Utilities,0,3,-3.2,"TXNM, ENIC, NJR"
