Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,146,415,-2.2,"ALOT, WT, OYSE, PBAM, RNXT"
Financial Services,73,230,-2.3,"VPV, TRIN, VOYA, PACH, SDHI"
Healthcare,27,59,-1.7,"APGE, SGMT, OGN, MCTA, SRRK"
Industrials,10,39,-2.7,"UNP, NDSN, EXPD, ATKR, CIX"
Technology,9,18,-1.7,"MSI, CHYM, DHX, MLAB, IMMR"
Communication Services,7,18,-1.9,"RDI, NWS, NWSA, VZ, IDT"
Real Estate,5,25,-3.0,"UMH, LXP, CHMI, PDM, AHR"
Basic Materials,3,6,-1.0,"VHI, SXC, SXT, FCX, MAKO"
Consumer Cyclical,3,26,-2.9,"JRSH, GBTG, HZO, ABNB, EXPE"
Consumer Defensive,2,10,-2.0,"HNST, ACU, SENEA, CHD, SPB"
Energy,2,7,-2.4,"PSX, DK, OKE, SMC, TRGP"
Utilities,0,11,-2.7,"YORW, AWR, WTRG, NWE, BKH"
