Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,279,512,-1.4,"ADPT, XRN, WHG, WLYB, GE"
Financial Services,190,325,-1.1,"GUT, GL, GNW, BWB, AROW"
Healthcare,50,67,-0.8,"WST, ASTH, CADL, AVBP, BCAX"
Real Estate,36,55,-0.8,"FOR, FVR, DEA, DOC, ESS"
Industrials,24,57,-1.7,"GFF, GTLS, BBCP, CSX, DCO"
Technology,22,33,-0.9,"XPER, GLW, CCSI, CGNX, DGII"
Consumer Cyclical,19,40,-1.5,"HBB, ETSY, BZH, FNKO, XMAX"
Communication Services,12,18,-1.0,"EVC, LYV, TDAY, ZD, MSGE"
Utilities,12,21,-1.2,"AWR, LNT, PNW, EVRG, DTE"
Consumer Defensive,7,14,-1.2,"FC, FMX, JBSS, PFGC, MNST"
Basic Materials,3,7,-1.6,"KOP, ODC, SSD, KALU, CTVA"
Energy,2,9,-2.4,"DK, WKC, DTM, TRGP, WTTR"
