Ticker,Price,52W_High,Pct_From_52W_High,Sector
VSTS,16.42,16.42,0.0,Industrials
VOYA,100.59,100.59,0.0,Financial Services
USB,64.01,64.01,0.0,Financial Services
UPS,117.18,117.18,0.0,Industrials
UNP,299.42,299.42,0.0,Industrials
ATAI,7.15,7.15,0.0,Unknown
AROW,42.5,42.5,0.0,Financial Services
ANSC,11.44,11.44,-0.0,Unknown
AMRX,18.04,18.04,0.0,Healthcare
AMCX,10.9,10.9,0.0,Unknown
AMAL,48.3,48.3,0.0,Financial Services
ALRS,32.59,32.59,0.0,Financial Services
ALOT,28.59,28.59,0.0,Unknown
UNF,292.69,292.69,0.0,Unknown
UHAL,72.28,72.28,0.0,Industrials
UCB,37.09,37.09,0.0,Unknown
TRNO,75.08,75.08,0.0,Real Estate
TRN,37.13,37.13,0.0,Industrials
TMHC,72.18,72.18,0.0,Consumer Cyclical
TFIN,79.68,79.68,0.0,Financial Services
BHRB,72.85,72.85,0.0,Financial Services
BFC,153.21,153.21,0.0,Unknown
BCML,34.79,34.79,0.0,Financial Services
BCAL,21.58,21.58,0.0,Financial Services
BATRA,57.75,57.75,0.0,Communication Services
BANR,72.43,72.43,0.0,Financial Services
STAG,42.04,42.04,0.0,Real Estate
SPG,228.49,228.49,0.0,Real Estate
SPB,89.6,89.6,0.0,Consumer Defensive
SOUL,10.39,10.39,0.0,Unknown
SNA,414.97,414.97,0.0,Industrials
SN,154.21,154.21,0.0,Unknown
SMG,73.47,73.47,0.0,Unknown
SMBK,48.64,48.64,0.0,Financial Services
SLF,81.62,81.62,0.0,Unknown
SKT,41.68,41.68,0.0,Real Estate
SBSI,35.74,35.74,0.0,Financial Services
SAH,102.72,102.72,0.0,Unknown
SAFE,17.17,17.17,0.0,Unknown
BSRR,42.85,42.85,0.0,Financial Services
BSET,21.78,21.78,0.0,Unknown
BPRN,39.18,39.18,0.0,Unknown
BPOP,173.86,173.86,0.0,Financial Services
BOTJ,26.86,26.86,0.0,Financial Services
BOKF,143.11,143.11,0.0,Unknown
BMRC,29.44,29.44,0.0,Unknown
BLFS,30.26,30.26,0.0,Healthcare
BJRI,62.47,62.47,0.0,Unknown
RNST,44.25,44.25,0.0,Financial Services
RHI,41.33,41.33,0.0,Unknown
CBNK,36.53,36.53,0.0,Financial Services
CATY,63.72,63.72,0.0,Financial Services
CASS,54.21,54.21,0.0,Unknown
CAPN,11.1,11.1,0.0,Financial Services
CAKE,83.31,83.31,0.0,Unknown
CAC,55.59,55.59,0.0,Financial Services
BWFG,61.21,61.21,0.0,Unknown
BWB,22.49,22.49,0.0,Financial Services
BVS,12.43,12.43,0.0,Unknown
BUSE,30.41,30.41,0.0,Financial Services
RGA,239.91,239.91,0.0,Unknown
RF,32.4,32.4,0.0,Unknown
RDN,39.14,39.14,0.0,Unknown
RAMP,38.01,38.01,0.0,Technology
QUAD,8.75,8.75,0.0,Unknown
PRU,118.25,118.25,0.0,Financial Services
PRK,192.19,192.19,0.0,Financial Services
PRI,312.75,312.75,0.0,Financial Services
PRG,47.53,47.53,0.0,Industrials
CHEF,102.36,102.36,0.0,Unknown
