Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,166,421,-1.8,"ZIM, AMGN, OBA, OMER, ORIQ"
Financial Services,131,297,-1.6,"AACB, PACH, PDLB, RVT, POLE"
Healthcare,20,54,-2.0,"OABI, BFRI, BLFS, MASS, MCTA"
Industrials,20,54,-2.1,"SB, IESC, GENC, VSEC, EXPD"
Energy,13,21,-1.3,"SM, PBF, PSX, OKE, NAT"
Consumer Cyclical,7,24,-2.4,"MGA, JRSH, HBB, UFI, HZO"
Technology,6,26,-2.6,"AEHR, DHX, AVT, SLAB, RAMP"
Real Estate,4,20,-2.6,"CHMI, NLY, EFC, LXP, JLL"
Basic Materials,3,9,-2.3,"RS, SXT, NUE, SXC, AVNT"
Communication Services,3,17,-2.3,"RDI, ROKU, MSGS, CNK, BATRK"
Consumer Defensive,1,5,-2.2,"ACU, SENEA, KO, TGT, SPB"
Utilities,0,10,-3.1,"YORW, AWR, ENIC, TXNM, WTRG"
