Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,115,262,-1.8,"BRTX, BPRN, TK, SHEL, REPX"
Financial Services,70,225,-2.2,"CCAQ, JACS, CHAR, CHMG, FBLA"
Energy,11,19,-1.3,"SM, NAT, PBF, PBT, INSW"
Healthcare,7,21,-2.2,"GRDN, GTBP, SGMT, MCTA, IRD"
Industrials,5,18,-2.6,"ECO, DAC, ETS, ATKR, EXPD"
Technology,5,9,-2.1,"HPQ, OST, SAIC, RAMP, SLAB"
Consumer Cyclical,3,7,-1.8,"JILL, GBTG, HZO, PAG, BZH"
Communication Services,3,7,-1.5,"IDT, TJGC, DV, VZ, ZD"
Utilities,2,9,-2.7,"WTRG, GNE, AWK, TXNM, YORW"
Basic Materials,2,6,-2.6,"GGB, MNTK, VHI, MEOH, SXC"
Real Estate,1,6,-3.3,"LXP, CHMI, IHS, EFC, NREF"
Consumer Defensive,0,2,-4.2,"ACU, KO"
