Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,135,378,-2.1,"TISI, TK, ARTW, SHEL, NMR"
Financial Services,102,261,-1.9,"ATLO, STT, RAC, BCAL, CCAQ"
Healthcare,13,41,-2.0,"OGN, BFRI, EOLS, PDEX, RCEL"
Industrials,12,29,-1.9,"WNC, SB, NX, MTW, GIC"
Technology,7,18,-1.9,"HPQ, CHYM, SLAB, SCSC, RAMP"
Energy,4,15,-1.9,"NAT, INSW, LPG, PSX, NOV"
Real Estate,4,12,-2.5,"MRP, CHMI, LXP, EFC, NREF"
Communication Services,4,10,-1.8,"TJGC, RDI, IDT, VZ, ZD"
Consumer Cyclical,3,14,-2.5,"GBTG, HZO, PAG, CART, JRSH"
Utilities,2,10,-2.2,"WTRG, AWK, YORW, GNE, TXNM"
Consumer Defensive,1,5,-2.2,"HNST, ACU, SPB, TGT, KO"
Basic Materials,0,6,-3.1,"SXT, SXC, GGB, CTVA, VHI"
