Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
DK,"Delek US Holdings, Inc. Common Stock",63.2,97.3,-5.9,50.2,41.41,40.19,67.19,19.43
GH,"Guardant Health, Inc. - Common Stock",147.33,97.3,-13.7,136.87,110.45,105.17,170.77,40.98
URGN,UroGen Pharma Ltd. - Ordinary Shares,40.97,97.2,-6.4,33.64,25.41,24.5,43.78,16.42
PBF,PBF Energy Inc. Class A Common Stock,61.63,97.1,-6.7,46.63,40.43,38.49,66.05,20.96
GLBS,Globus Maritime Limited - Common Stock,3.01,97.0,-5.0,2.54,2.09,1.89,3.17,1.0
EWTX,"Edgewise Therapeutics, Inc. - Common Stock",40.84,96.9,-15.5,37.51,32.23,29.09,48.35,12.68
FRD,Friedman Industries Inc. - Common Stock,35.6,96.8,-4.8,29.54,22.66,22.07,37.38,14.81
GLUE,"Monte Rosa Therapeutics, Inc. - Common Stock",22.78,96.8,-10.0,20.5,19.35,17.85,25.31,4.19
LCUT,"Lifetime Brands, Inc. - Common Stock",8.69,96.6,-7.3,8.5,5.92,5.33,9.37,2.92
SEZL,Sezzle Inc. - Common Stock,153.89,96.5,-18.4,144.28,95.72,88.41,188.55,50.97
CRS,Carpenter Technology Corporation Common Stock,603.69,96.5,-2.5,534.52,430.61,397.84,619.25,231.97
LFST,"LifeStance Health Group, Inc. - Common Stock",10.9,96.4,-5.9,9.25,7.75,7.28,11.58,3.79
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",52.95,96.4,-2.5,45.32,35.76,31.98,54.33,15.14
BOLD,"Boundless Bio, Inc. - Common Stock",2.57,96.3,-1.2,1.92,1.47,1.42,2.6,1.05
OII,"Oceaneering International, Inc. Common Stock",52.73,96.3,0.0,39.84,35.19,32.43,52.73,21.17
CLMT,"Calumet, Inc - Common Stock",41.69,96.3,-5.6,36.15,30.3,27.52,44.17,13.23
ALXO,ALX Oncology Holdings Inc. - Common Stock,2.03,96.2,-21.9,1.89,1.84,1.76,2.6,0.52
