Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,128,373,-2.2,"AFBI, ALDF, ORIQ, PAYS, PGAC"
Financial Services,100,315,-2.0,"VOYA, ALF, LPBB, PACH, BPOP"
Healthcare,13,57,-2.4,"KYMR, PNTG, IART, TOI, CLYM"
Industrials,13,37,-2.2,"POWW, NSC, HURC, ARMK, GTLS"
Real Estate,11,54,-2.4,"NREF, HR, IIPR, FR, TRNO"
Technology,9,20,-1.9,"ACIW, RAMP, CNXN, ANET, FFIV"
Consumer Cyclical,8,21,-2.0,"RSI, PAG, CROX, ETSY, BZH"
Consumer Defensive,5,16,-2.6,"LAUR, MNST, KO, PSMT, STRA"
Energy,5,12,-2.2,"WKC, FTK, PBF, PSX, DK"
Utilities,4,21,-2.4,"NJR, AWR, EIX, NWE, PNW"
Basic Materials,2,4,-1.1,"ODC, KOP, CTVA, LIN"
Communication Services,2,14,-2.8,"PSO, EA, QNST, ROKU, OMC"
