Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
BANL,CBL International Limited - Class B Ordinary Shares,15.61,100.0,-3.0,5.65,2.2,1.76,16.1,0.29
CCG,Cheche Group Inc. - Class A Ordinary Shares,15.47,100.0,-10.1,9.82,3.74,3.03,17.21,0.37
NRDY,Nerdy Inc. Class A Common Stock,9.69,99.8,-23.3,5.25,2.34,2.04,12.63,0.73
LGVN,Longeveron Inc. - Class A Common stock,6.78,99.8,-19.1,1.7,1.1,0.97,8.38,0.48
BRCC,BRC Inc. Class A Common Stock,8.4,99.6,-10.0,2.26,1.45,1.37,9.33,0.62
GAME,"GameSquare Holdings, Inc. - Common stock",2.93,99.6,-19.7,0.82,0.52,0.51,3.65,0.25
GLMD,Galmed Pharmaceuticals Ltd. - Ordinary Shares,4.12,99.5,-17.1,2.22,1.15,1.09,4.97,0.47
XHLD,"TEN Holdings, Inc. - Common Stock",9.24,99.5,-1.9,3.72,2.29,2.2,9.42,0.8
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",14.16,99.4,-8.4,12.64,7.97,6.68,15.46,1.39
MRNA,"Moderna, Inc. - Common Stock",150.81,99.4,-13.5,82.01,60.65,53.6,174.38,22.36
CLYM,"Climb Bio, Inc. - Common Stock",15.05,99.3,-15.6,13.94,10.3,8.58,17.84,1.64
ANRO,"Alto Neuroscience, Inc. Common Stock",36.64,99.2,0.0,29.48,24.05,22.03,36.64,3.51
ANTX,"AN2 Therapeutics, Inc. - Common Stock",5.95,99.2,-5.3,5.27,4.06,3.33,6.28,1.03
MU,"Micron Technology, Inc. - Common Stock",956.08,99.1,-21.2,944.0,702.62,598.91,1213.37,118.53
FTH,"Faeth Therapeutics, Inc.  - Common Stock",39.12,99.0,0.0,29.26,25.35,21.39,39.12,7.89
SAIH,SAIHEAT Limited - Class A Ordinary Shares,25.4,99.0,0.0,17.47,12.08,11.2,25.4,5.65
TWST,Twist Bioscience Corporation - Common Stock,131.0,99.0,-14.4,109.61,73.66,63.75,153.1,24.16
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",61.96,98.9,-3.8,46.75,31.76,27.85,64.43,14.35
NVCT,"Nuvectis Pharma, Inc. - Common Stock",23.92,98.9,-16.2,21.06,13.27,11.82,28.53,5.65
MAAS,Maase Inc. - Class A Ordinary Shares,17.4,98.9,-18.1,16.74,11.22,9.6,21.24,2.86
PLSE,"Pulse Biosciences, Inc - Common Stock",52.68,98.8,0.0,36.86,26.9,23.68,52.68,12.66
TXG,"10x Genomics, Inc. - Common Stock",61.65,98.8,-5.3,49.76,31.85,28.47,65.12,11.34
IMMX,"Immix Biopharma, Inc. - Common Stock",13.96,98.7,-3.5,10.86,9.5,8.41,14.47,1.96
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",8.62,98.7,-4.1,5.72,4.33,3.87,8.99,1.81
TOP,TOP Financial Group Limited - Class A Ordinary Shares,15.2,98.6,-9.1,11.48,6.98,6.56,16.73,3.11
RNXT,"RenovoRx, Inc. - Common Stock",2.52,98.6,0.0,1.13,0.99,0.97,2.52,0.73
PRAX,"Praxis Precision Medicines, Inc. - Common Stock",357.5,98.5,-7.5,337.71,322.53,306.27,386.33,37.71
QMCO,Quantum Corporation - Common Stock,22.78,98.5,-12.8,15.07,10.15,9.52,26.11,4.31
DELL,Dell Technologies Inc. Class C Common Stock ,492.2,98.5,-0.5,435.26,290.22,248.89,494.51,110.54
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",34.49,98.4,-13.0,23.55,17.72,16.66,39.66,9.84
CDNA,"CareDx, Inc. - Common Stock",49.6,98.4,-5.3,39.8,26.64,24.72,52.36,12.73
NCEW,New Century Logistics (BVI) Limited - Ordinary Shares,18.08,98.4,-12.7,17.06,14.42,12.19,20.7,3.01
PRLD,Prelude Therapeutics Incorporated - Common Stock,5.43,98.4,-18.1,5.0,4.11,3.58,6.63,0.99
TJGC,TJGC Group Limited - Class A Ordinary Shares,10.04,98.3,-0.4,5.17,4.12,3.85,10.08,1.5
RVMD,"Revolution Medicines, Inc. - Common Stock",209.23,98.2,-5.4,195.33,147.6,132.64,221.15,38.95
OABI,"OmniAb, Inc. - Common Stock",5.04,98.2,0.0,2.91,2.21,2.13,5.04,1.36
RCEL,"Avita Medical, Inc. - Common Stock",10.76,98.2,0.0,6.4,5.04,4.69,10.76,3.27
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,14.33,98.1,-4.2,13.13,9.82,8.67,14.96,3.47
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",11.31,98.0,-15.5,10.48,8.4,7.33,13.39,2.28
LITE,Lumentum Holdings Inc. - Common Stock,870.58,98.0,-17.3,815.91,792.99,678.95,1053.09,134.12
GLBS,Globus Maritime Limited - Common Stock,3.82,97.9,-0.8,3.21,2.42,2.21,3.85,1.01
PAYS,"Paysign, Inc. - Common Stock",12.53,97.8,-11.4,10.46,7.04,6.54,14.14,3.18
BDSX,"Biodesix, Inc. - Common Stock",27.16,97.7,-11.2,23.03,17.1,14.79,30.6,5.46
BOLD,"Boundless Bio, Inc. - Common Stock",2.89,97.7,-3.7,2.65,1.76,1.62,3.0,1.05
OMER,Omeros Corporation - Common Stock,18.86,97.7,-2.4,13.17,12.22,12.03,19.32,4.03
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",106.24,97.5,-8.4,104.57,86.05,75.32,115.96,24.26
AGEN,Agenus Inc. - Common Stock,8.09,97.5,-3.2,6.07,4.32,4.19,8.36,2.77
TVTX,"Travere Therapeutics, Inc. - Common Stock",67.23,97.4,-0.4,59.96,44.71,42.11,67.52,19.61
MKDW,MKDWELL Tech Inc. - Ordinary Shares,11.47,97.4,-4.4,11.42,7.59,7.01,12.0,1.95
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",59.01,97.4,-3.5,55.23,42.74,37.26,61.15,15.14
CADL,"Candel Therapeutics, Inc. - Common Stock",13.2,97.3,-4.0,10.83,7.91,7.31,13.75,4.42
TORO,Toro Corp. - Common stock,6.25,97.3,-7.8,5.37,4.6,4.21,6.78,1.61
FRD,Friedman Industries Inc. - Common Stock,45.0,97.2,-6.4,38.01,26.65,24.95,48.08,16.96
RLYB,Rallybio Corporation - Common Stock,16.94,97.2,-0.4,16.33,12.35,10.64,17.0,3.99
MNPR,Monopar Therapeutics Inc. - Common Stock,116.28,97.2,-6.1,108.38,75.15,74.71,123.84,36.21
CLMT,"Calumet, Inc - Common Stock",53.07,97.1,0.0,42.94,35.12,31.3,53.07,16.76
CSTE,Caesarstone Ltd. - Ordinary Shares,3.0,97.1,-15.7,2.58,1.89,1.85,3.56,0.62
APGE,"Apogee Therapeutics, Inc. - Common Stock",135.07,97.1,-0.0,134.13,97.77,91.97,135.08,36.53
NESR,National Energy Services Reunited Corp - Ordinary Shares,34.74,97.1,-4.3,30.27,25.67,23.23,36.31,9.36
AMWL,American Well Corporation Class A Common Stock,12.83,97.0,-5.5,11.22,8.03,7.15,13.58,3.78
INBX,"Inhibrx Biosciences, Inc. - Common Stock",124.97,97.0,-11.9,96.13,91.5,88.53,141.84,26.53
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",6.18,96.9,-5.4,5.71,4.56,4.18,6.53,1.81
MRVI,"Maravai LifeSciences Holdings, Inc. - Class A common stock",7.38,96.9,-18.0,6.73,4.75,4.47,9.0,2.36
FET,"Forum Energy Technologies, Inc. Common Stock",82.22,96.9,-4.7,64.54,58.6,53.05,86.31,25.26
PSNL,"Personalis, Inc. - Common Stock",16.73,96.8,-9.0,14.33,10.03,9.79,18.38,4.85
PBF,PBF Energy Inc. Class A Common Stock,75.48,96.8,0.0,62.41,47.75,43.54,75.48,25.55
RNG,"RingCentral, Inc. Class A Common Stock",72.58,96.8,0.0,53.2,42.87,39.23,72.58,24.69
PMTS,CPI Card Group Inc. - Common Stock,29.0,96.7,-4.9,23.43,18.19,17.24,30.5,11.29
ECO,Okeanis Eco Tankers Corp. Common Stock,69.02,96.6,0.0,55.63,47.89,43.75,69.02,23.49
KRT,Karat Packaging Inc. - Common Stock,47.38,96.6,-4.9,40.91,31.36,29.01,49.8,19.72
MAN,ManpowerGroup Common Stock,60.27,96.5,-4.3,50.87,36.53,34.52,62.95,25.16
