Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,237,307,-0.7,"WYY, XHR, ACA, AIN, AIT"
Financial Services,117,327,-1.8,"BAC, BCS, BGC, BEN, WABC"
Technology,28,58,-1.6,"APH, WYFI, BELFB, VICR, VISN"
Industrials,25,64,-1.9,"AGX, BBCP, SNA, RRX, CW"
Healthcare,23,59,-1.9,"BCAX, BEAM, RVMD, DNLI, MRVI"
Consumer Cyclical,10,45,-2.7,"RSI, OLPX, HOFT, MOV, JRSH"
Real Estate,6,50,-2.8,"EQIX, IRM, CBL, LXP, FVR"
Communication Services,4,12,-2.2,"MSGE, BATRA, EVC, EA, CNK"
Energy,4,10,-2.3,"NAT, INSW, WKC, NGS, FTK"
Consumer Defensive,3,13,-2.7,"PSMT, MNST, CENTA, SPB, LAUR"
Basic Materials,1,9,-3.1,"KOP, LIN, RS, KALU, FCX"
Utilities,0,22,-3.3,"EVRG, LNT, NI, PNW, TLN"
