Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,128,275,-1.8,"TMO, ALDF, TK, OSPN, PLTS"
Financial Services,49,188,-2.1,"PACH, CHAR, CCAQ, CPBI, VNME"
Healthcare,11,36,-2.4,"MNOV, MEDP, MCTA, GRDN, GH"
Energy,8,15,-1.8,"DK, PSX, PR, NAT, LPG"
Technology,8,18,-1.9,"OST, DHX, CNXN, SAIC, RAMP"
Industrials,7,23,-2.7,"ECO, ATKR, ETS, GIC, USEA"
Consumer Cyclical,3,7,-1.5,"VNCE, HZO, GBTG, JILL, BZH"
Communication Services,2,10,-2.5,"DV, ZD, ROKU, NWSA, IDT"
Utilities,2,6,-2.3,"GNE, TXNM, WTRG, AWK, AWR"
Real Estate,1,4,-2.8,"LXP, IHS, PSTL, CHMI"
Consumer Defensive,0,3,-3.7,"ACU, KO, SPB"
Basic Materials,0,1,-3.1,GGB
