Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,189,404,-1.6,"ZETA, MBVI, MFIN, KCHV, KIDS"
Financial Services,110,277,-1.5,"MCHB, LARK, RVT, BANR, STT"
Healthcare,25,58,-1.8,"MASS, MCTA, OGN, BLFS, BMRN"
Industrials,22,58,-1.8,"NDSN, SMHI, SWK, MTW, GENC"
Technology,16,32,-1.5,"MLAB, P, CHYM, CACI, DGII"
Consumer Cyclical,9,33,-2.1,"ABNB, JRSH, PKG, HBB, HZO"
Energy,6,12,-1.8,"SMC, PSX, FTK, TDW, HPK"
Basic Materials,5,11,-2.0,"MAKO, SXT, AVNT, KALU, NUE"
Real Estate,5,16,-2.4,"SKYH, EFC, CHMI, UMH, LXP"
Communication Services,2,14,-2.8,"OMC, GSAT, ROKU, LYV, MSGE"
Consumer Defensive,2,10,-2.9,"SENEA, TGT, CHD, PFGC, KO"
Utilities,0,8,-3.3,"AWR, YORW, WTRG, TXNM, BKH"
