Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,132,337,-2.0,"XHR, PAMT, PBFS, NMP, NOEM"
Financial Services,117,272,-1.6,"ACT, NTWO, NWFL, OPBK, PEBO"
Real Estate,20,53,-1.8,"SKT, SPG, HIW, FRT, EPR"
Industrials,16,40,-2.0,"PCAR, RTX, RYZ, SB, CSX"
Healthcare,13,33,-2.1,"DYN, PACS, APGE, FTRE, ABBV"
Consumer Cyclical,6,24,-2.0,"SON, PKG, PAG, BZH, ROST"
Technology,5,11,-1.4,"CNXN, SAIC, DBD, NATL, RAMP"
Energy,5,15,-2.3,"TRP, INSW, WKC, NAT, EOG"
Utilities,4,21,-2.1,"OGE, NJR, NWE, EIX, BKH"
Consumer Defensive,2,10,-2.8,"ACU, SPB, CENTA, KO, TGT"
Basic Materials,2,5,-1.1,"SXT, CTVA, RS, GGB, KOP"
Communication Services,2,8,-2.6,"RSVR, EA, MSGS, ROKU, MANU"
