Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,141,395,-2.1,"ADPT, ZETA, ALDF, XYZ, RMNI"
Financial Services,72,223,-2.2,"RDAG, OPY, BYFC, BLUW, PACH"
Healthcare,19,53,-1.9,"RGEN, CADL, RVTY, APGE, BIIB"
Technology,14,24,-1.7,"AMPL, RBRK, CCSI, CHYM, SAIC"
Industrials,11,36,-2.3,"OESX, ATKR, ECO, GIC, EXPD"
Communication Services,6,18,-2.5,"RDI, TJGC, NWSA, NWS, ZD"
Real Estate,4,18,-2.8,"LXP, CHMI, UMH, EFC, SELF"
Consumer Cyclical,3,21,-2.9,"GBTG, HZO, VNCE, JRSH, FNKO"
Consumer Defensive,3,10,-2.1,"HNST, ACU, SENEA, CHD, SPB"
Basic Materials,1,6,-2.3,"SXC, MAKO, FCX, SXT, VHI"
Energy,1,17,-3.2,"INSW, PSX, DK, SM, OKE"
Utilities,0,9,-3.0,"WTRG, AWR, NWE, YORW, TXNM"
