Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Financial Services,220,320,-1.0,"AMAL, ALRS, ACT, ACNB, BANR"
Unknown,181,388,-1.7,"WTS, WSM, ALKS, AFBI, ADAM"
Healthcare,39,57,-0.9,"WST, SLDB, CLYM, CADL, OGN"
Real Estate,23,51,-1.4,"WELL, SPG, MAC, IVT, PECO"
Industrials,21,44,-1.8,"WNC, TEX, SNA, PRG, MAS"
Consumer Cyclical,19,46,-1.8,"TMHC, PAG, PACK, OPLN, M"
Consumer Defensive,9,15,-1.2,"TGT, SPB, CENTA, PSMT, WEST"
Utilities,9,20,-1.2,"PNW, EVRG, DTE, LNT, CNP"
Technology,6,21,-2.3,"RAL, USIO, CWAN, SCSC, CCSI"
Communication Services,6,14,-1.5,"BATRA, BATRK, MSGE, EA, EVC"
Basic Materials,1,8,-2.4,"ODC, SSD, KOP, LIN, SXT"
Energy,1,9,-2.2,"NAT, WKC, AROC, DTM, TRP"
