Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,111,339,-2.1,"AFBI, ALDF, ALOT, UYSC, ADM"
Financial Services,81,276,-2.2,"BPOP, TRST, BAC, BBVA, POLE"
Real Estate,12,51,-2.1,"CBL, KIM, LXP, EPR, WELL"
Consumer Cyclical,11,24,-1.7,"YETI, TMHC, FNKO, PAG, PII"
Industrials,9,38,-2.4,"PCAR, WNC, DAC, OTTR, HWM"
Healthcare,7,37,-2.4,"BLFS, LQDA, FTRE, APGE, AVNS"
Energy,5,18,-2.4,"TRGP, WTTR, FTK, PSX, TRP"
Technology,4,13,-2.2,"DHX, CNXN, NATL, RAMP, SCSC"
Utilities,3,20,-2.7,"EIX, OGE, NJR, NWE, BKH"
Consumer Defensive,2,10,-2.8,"FMX, SPB, TGT, BUD, CCEP"
Basic Materials,2,3,-1.0,"CTVA, KOP, GGB"
Communication Services,2,10,-2.7,"EA, ROKU, MSGS, SCHL, RSVR"
