Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,156,393,-1.8,"XHR, AAPL, ATAI, ANSC, VLO"
Financial Services,85,312,-1.8,"TRV, TFIN, PRU, CAPN, MFC"
Real Estate,39,57,-1.0,"TRNO, SPG, SKT, MAC, LXP"
Healthcare,18,49,-1.8,"PACS, DNTH, DVA, ELVN, CVS"
Industrials,15,36,-1.8,"VSTS, UPS, UNP, RXO, NSC"
Energy,6,11,-1.2,"WTTR, TRGP, PSX, PBF, DK"
Technology,6,17,-2.0,"CNXN, DHX, PANW, SCSC, RAMP"
Communication Services,4,13,-2.2,"EA, ZD, ROKU, SCHL, MSGS"
Consumer Cyclical,4,31,-2.4,"TMHC, YETI, PII, PAG, GBTG"
Basic Materials,2,5,-2.4,"KOP, CTVA, GGB, CX, RS"
Utilities,2,19,-2.9,"AWR, EIX, NJR, PNW, OGE"
Consumer Defensive,1,10,-2.5,"SPB, TGT, FMX, GHC, MNST"
