Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
SNDK,Sandisk Corporation - Common Stock When-Issued,1963.6,100.0,-13.6,1450.54,797.01,633.87,2273.73,40.69
AGL,"agilon health, inc. Common Stock",111.73,99.9,-3.8,67.93,33.46,31.2,116.16,7.91
RXT,"Rackspace Technology, Inc. - Common Stock",7.27,99.8,-3.5,4.05,2.11,1.95,7.53,0.41
BE,Bloom Energy Corporation Class A Common Stock,321.98,99.8,-6.9,268.14,176.74,156.88,345.85,21.6
NUAI,"New Era Energy & Digital, Inc. - Common Stock",6.16,99.8,-23.5,4.82,4.69,4.26,8.06,0.33
MXL,"MaxLinear, Inc - Common Stock",89.08,99.8,-12.9,74.82,36.69,31.51,102.27,13.05
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",23.37,99.7,-6.3,18.38,9.31,8.34,24.94,3.14
OPTX,"Syntec Optics Holdings, Inc. - Class A Common Stock",11.13,99.7,-21.1,10.09,6.65,5.5,14.11,1.25
MU,"Micron Technology, Inc. - Common Stock",1051.77,99.6,-13.2,761.22,483.95,410.72,1211.38,104.73
MAAS,Maase Inc. - Class A Ordinary Shares,21.24,99.6,0.0,11.06,7.22,6.3,21.24,2.86
WDC,Western Digital Corporation - Common Stock,670.75,99.6,-10.1,494.33,321.3,272.1,746.23,60.22
CHRN,ChronoScale Corporation - Common Stock,25.82,99.6,0.0,15.63,10.72,9.24,25.82,2.82
AEHR,Aehr Test Systems - Common Stock,102.39,99.5,-12.2,96.0,52.35,46.06,116.58,11.25
CLYM,"Climb Bio, Inc. - Common Stock",12.3,99.5,0.0,10.49,6.79,5.6,12.3,1.18
QTTB,Q32 Bio Inc. - Common Stock,11.88,99.4,-15.1,8.31,5.58,4.79,14.0,1.36
ANRO,"Alto Neuroscience, Inc. Common Stock",24.44,99.4,-11.8,22.92,19.54,16.54,27.72,2.2
VICR,Vicor Corporation - Common Stock,336.12,99.4,-8.0,280.44,189.18,158.26,365.53,43.83
STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),1038.59,99.4,-5.1,783.36,496.25,430.03,1094.04,131.39
ICHR,Ichor Holdings - Ordinary Shares,92.2,99.3,-7.4,72.37,45.97,39.23,99.61,14.06
EVC,Entravision Communications Corporation Common Stock,10.84,99.3,0.0,7.1,4.34,3.81,10.84,1.91
SYRE,"Spyre Therapeutics, Inc. - Common Stock",97.05,99.3,-3.3,74.62,49.11,41.71,100.32,14.68
INTC,Intel Corporation - Common Stock,132.28,99.3,-6.1,104.41,64.04,56.63,140.94,19.31
ORKA,"Oruka Therapeutics, Inc. - Common Stock",83.4,99.2,-2.3,65.56,45.06,39.39,85.38,10.9
VATE,INNOVATE Corp. Common Stock,18.15,99.2,-9.5,13.86,8.1,7.32,20.06,3.98
VPG,"Vishay Precision Group, Inc. Common Stock",134.17,99.2,-8.1,94.77,59.86,53.29,146.03,25.8
VSH,"Vishay Intertechnology, Inc. Common Stock",58.96,99.1,-9.2,42.24,25.37,22.91,64.9,11.65
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",9.07,99.1,-2.6,6.67,4.69,3.97,9.31,1.39
ALMS,Alumis Inc. - Common Stock,24.51,99.1,-18.2,23.04,20.9,16.79,29.98,2.8
HUT,Hut 8 Corp. - Common Stock,120.51,99.0,-9.4,100.63,67.17,60.73,133.02,15.89
UCTT,"Ultra Clean Holdings, Inc. - Common Stock",111.63,98.9,-9.3,87.29,58.46,50.7,123.14,19.93
MOVE,"Corvex, Inc. - Common Stock",21.43,98.8,-12.4,18.31,11.75,10.11,24.46,3.51
TTMI,"TTM Technologies, Inc. - Common Stock",213.17,98.8,-3.7,165.81,113.58,99.64,221.47,36.95
HYLN,Hyliion Holdings Corp. Class A Common Stock,6.1,98.8,-24.7,4.43,2.77,2.6,8.1,1.32
DOCN,"DigitalOcean Holdings, Inc. Common Stock",157.18,98.8,-13.3,140.83,86.55,74.75,181.29,25.74
SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",319.0,98.7,-5.3,238.01,152.84,137.66,336.9,68.76
MRVL,"Marvell Technology, Inc. - Common Stock",279.04,98.7,-11.8,204.71,126.17,115.3,316.43,62.19
AIP,"Arteris, Inc.  - Common Stock",41.22,98.7,-7.4,32.6,21.48,19.12,44.5,8.59
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,282.65,98.7,-10.8,243.34,168.94,145.62,316.85,40.11
NBIS,Nebius Group N.V. - Class A Ordinary Shares,275.25,98.6,-4.0,202.75,133.05,127.19,286.69,44.3
PENG,"Penguin Solutions, Inc. - Common Stock",66.96,98.6,-6.2,46.7,28.56,27.44,71.41,16.24
WULF,TeraWulf Inc. - Common Stock,28.78,98.5,-0.7,23.59,17.48,16.27,28.98,3.57
UMC,United Microelectronics Corporation (NEW) Common Stock,26.2,98.5,-4.7,17.2,11.78,10.66,27.5,6.58
EQ,"Equillium, Inc. - Common Stock",2.84,98.5,-10.4,2.4,1.8,1.7,3.17,0.29
ALOT,"AstroNova, Inc. - Common Stock",28.4,98.5,-0.6,15.58,11.08,10.76,28.57,7.01
TE,T1 Energy Inc. Common Stock,9.24,98.4,-23.3,7.35,6.72,5.81,12.04,1.16
RLYB,Rallybio Corporation - Common Stock,15.7,98.4,-6.9,13.2,8.74,7.74,16.87,2.5
BRUN,Boost Run Inc. - Class A Common Stock,34.89,98.4,-11.0,24.61,15.87,14.95,39.2,10.21
DELL,Dell Technologies Inc. Class C Common Stock ,427.78,98.3,-8.2,292.01,187.07,175.9,465.96,110.73
TNGX,"Tango Therapeutics, Inc. - Common Stock",28.39,98.3,-13.7,24.69,16.81,14.56,32.9,4.92
WYY,WidePoint Corporation Common Stock,15.27,98.3,0.0,9.13,6.85,6.6,15.27,2.82
VIAV,Viavi Solutions Inc. - Common Stock,49.97,98.2,-9.7,49.1,32.71,27.96,55.33,9.62
ANTX,"AN2 Therapeutics, Inc. - Common Stock",4.98,98.2,-8.8,4.37,2.69,2.32,5.46,1.03
AMD,"Advanced Micro Devices, Inc. - Common Stock",519.85,98.1,-5.8,422.84,284.47,264.89,551.63,129.58
VNCE,Vince Holding Corp. - Common Stock,6.86,98.1,-3.7,4.62,3.46,3.3,7.12,1.26
LQDA,Liquidia Corporation - Common Stock,74.04,98.1,-1.9,53.41,41.67,37.36,75.49,12.0
CIFR,Cipher Digital Inc. - Common Stock,27.64,98.1,-5.3,21.6,17.87,17.41,29.18,3.53
RLAY,"Relay Therapeutics, Inc. - Common Stock",17.44,98.0,0.0,14.27,10.68,9.44,17.44,3.22
FCEL,"FuelCell Energy, Inc. - Common Stock",21.82,98.0,-17.3,16.6,10.61,9.99,26.38,3.92
RFIL,"RF Industries, Ltd. - Common Stock",21.12,98.0,-1.8,16.39,11.4,10.51,21.5,5.52
IPSC,"Century Therapeutics, Inc. - Common Stock",2.41,97.9,-18.0,2.29,1.86,1.53,2.94,0.47
ATEX,Anterix Inc. - Common Stock,79.98,97.9,-3.7,58.23,38.66,34.2,83.01,17.99
MBX,"MBX Biosciences, Inc. - Common Stock",46.39,97.9,0.0,33.66,32.97,28.89,46.39,9.73
SIF,"SIFCO Industries, Inc. Common Stock",20.28,97.8,-10.5,18.43,12.29,10.99,22.65,3.35
QUIK,QuickLogic Corporation - Common Stock,19.93,97.8,-16.0,18.31,11.21,10.02,23.74,4.89
PSIG,PS International Group Ltd. - Ordinary Shares,11.8,97.7,0.0,7.93,6.0,5.49,11.8,2.56
BIOA,"BioAge Labs, Inc. - Common Stock",22.32,97.6,-2.6,17.58,16.88,14.17,22.92,4.12
RVMD,"Revolution Medicines, Inc. - Common Stock",169.51,97.6,0.0,149.35,111.74,96.46,169.51,34.7
FORM,"FormFactor, Inc. - Common Stock",142.79,97.6,-8.9,134.49,96.76,82.87,156.66,27.62
ACMR,"ACM Research, Inc. - Class A Common Stock",99.12,97.6,-9.8,70.39,54.75,50.26,109.87,23.92
ARMH,Arm Holdings PLC ADRhedged,156.51,97.5,-16.3,114.84,73.73,71.77,187.07,43.48
VECO,Veeco Instruments Inc. - Common Stock,74.84,97.5,-9.9,58.32,40.43,37.55,83.04,19.72
STRL,"Sterling Infrastructure, Inc. - Common Stock",892.25,97.5,-10.2,727.77,489.82,455.6,993.74,222.5
POWL,"Powell Industries, Inc. - Common Stock",291.5,97.5,-9.5,278.63,192.08,171.26,321.94,60.01
BFLY,"Butterfly Network, Inc. Class A Common Stock",7.67,97.4,-13.8,5.0,4.1,3.6,8.9,1.33
KLIC,"Kulicke and Soffa Industries, Inc. - Common Stock",127.1,97.4,0.0,98.65,71.34,63.4,127.1,31.65
COHU,"Cohu, Inc. - Common Stock",64.37,97.3,-8.1,50.5,35.38,32.01,70.07,17.86
TER,"Teradyne, Inc. - Common Stock",420.12,97.3,-8.1,375.05,293.87,256.44,457.0,87.14
AMKR,"Amkor Technology, Inc. - Common Stock",86.72,97.3,-7.3,72.94,54.38,48.35,93.55,20.09
MKSI,MKS Inc. - Common Stock,389.17,97.2,-7.5,312.36,240.8,213.68,420.56,89.14
SMTC,Semtech Corporation - Common Stock,163.28,97.2,-6.6,134.52,97.7,89.94,174.73,41.06
COHR,Coherent Corp. Common Stock,381.22,97.2,-10.7,361.54,262.73,227.01,426.89,80.64
NCEW,New Century Logistics (BVI) Limited - Ordinary Shares,19.0,97.2,-8.2,17.19,10.57,9.05,20.7,3.01
ELA,Envela Corporation Common Stock,26.81,97.1,-2.6,22.46,16.47,14.43,27.53,5.42
FLEX,Flex Ltd. - Ordinary Shares,151.85,97.1,-6.2,124.83,84.15,78.14,161.94,46.35
ANAB,"AnaptysBio, Inc. - Common Stock",59.43,97.0,-14.8,57.73,42.05,36.5,69.78,12.93
STHH,STMicroelectronics NV ADRhedged,146.82,97.0,-8.1,122.9,79.95,73.17,159.79,42.63
IMMX,"Immix Biopharma, Inc. - Common Stock",9.91,97.0,-10.9,9.23,7.6,6.37,11.12,1.96
OSS,"One Stop Systems, Inc. - Common Stock",17.02,96.9,-14.7,14.52,10.36,9.17,19.95,3.55
ABSI,Absci Corporation - Common Stock,7.41,96.9,-11.8,5.48,3.85,3.76,8.4,2.3
MGNX,"MacroGenics, Inc. - Common Stock",4.69,96.9,0.0,3.76,2.59,2.36,4.69,1.19
LRCX,Lam Research Corporation - Common Stock,371.33,96.8,-9.3,303.14,237.07,212.62,409.54,91.11
SILC,Silicom Ltd - Ordinary Shares,41.2,96.8,-19.2,39.85,24.92,22.97,50.98,13.5
ASYS,"Amtech Systems, Inc. - Common Stock",20.33,96.8,-15.3,19.68,14.72,13.16,23.99,4.16
STM,STMicroelectronics N.V. Common Stock,72.43,96.8,-9.4,62.08,40.35,36.94,79.91,21.07
KORE,"KORE Group Holdings, Inc. Common Stock",9.21,96.7,-0.1,9.17,7.02,6.02,9.22,2.11
AMAT,"Applied Materials, Inc. - Common Stock",585.88,96.7,-8.5,453.96,358.98,321.75,640.18,155.56
TH,Target Hospitality Corp. - Common Stock,20.52,96.7,0.0,16.75,11.14,10.31,20.52,6.22
VSXY,Victorias Secret & Co. Common Stock ,78.76,96.6,-3.9,59.02,54.69,48.58,81.98,17.7
ENLT,Enlight Renewable Energy Ltd. - Ordinary Shares,90.56,96.6,-15.7,90.5,68.1,59.18,107.42,21.74
NWPX,"NWPX Infrastructure, Inc. - Common Stock",138.62,96.6,-1.6,109.63,82.54,75.41,140.92,39.91
NDLS,Noodles & Company - Class A Common Stock,13.67,96.5,-4.2,11.91,8.01,7.36,14.27,3.9
TWST,Twist Bioscience Corporation - Common Stock,85.0,96.5,-2.9,63.93,48.47,43.78,87.56,24.16
AGX,"Argan, Inc. Common Stock",736.77,96.5,-6.7,666.14,487.04,434.56,790.0,201.37
ROMA,Roma Green Finance Limited - Class A Ordinary Shares,8.33,96.4,-19.4,6.94,4.35,3.97,10.34,1.3
CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,272.01,96.4,-10.1,204.27,155.42,155.18,302.52,84.57
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",87.53,96.4,-8.6,86.66,65.57,58.09,95.76,17.2
TVTX,"Travere Therapeutics, Inc. - Common Stock",55.95,96.3,0.0,44.82,36.16,33.97,55.95,14.49
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",79.9,96.3,-2.6,74.75,66.33,58.65,82.0,14.71
APGE,"Apogee Therapeutics, Inc. - Common Stock",132.88,96.3,0.0,86.61,77.92,70.33,132.88,34.65
DWSN,Dawson Geophysical Company - Common Stock,4.57,96.3,-6.7,3.75,2.9,2.64,4.9,1.29
GLUE,"Monte Rosa Therapeutics, Inc. - Common Stock",20.71,96.3,-18.2,18.75,18.26,15.99,25.31,4.19
APLD,Applied Digital Corporation - Common Stock,45.27,96.2,-8.8,40.33,32.93,31.53,49.65,9.18
SVCO,"Silvaco Group, Inc. - Common Stock",12.88,96.2,-3.5,10.62,6.62,6.36,13.35,3.23
PDFS,"PDF Solutions, Inc. - Common Stock",60.54,96.1,-7.4,49.82,37.56,34.53,65.36,18.97
GTX,Garrett Motion Inc. - Common Stock,33.75,96.1,-2.5,28.33,21.43,19.64,34.61,9.57
BDSX,"Biodesix, Inc. - Common Stock",19.16,96.1,-1.2,14.2,12.04,10.9,19.4,5.0
GLW,Corning Incorporated Common Stock,194.07,96.0,-7.5,180.27,134.56,121.56,209.83,50.83
SKYT,"SkyWater Technology, Inc. - Common Stock",36.53,96.0,-8.5,34.94,28.53,25.46,39.91,8.78
NVCT,"Nuvectis Pharma, Inc. - Common Stock",17.55,95.9,0.0,10.25,8.74,8.1,17.55,5.65
BB,BlackBerry Limited Common Stock,8.82,95.9,-14.7,7.05,4.84,4.75,10.34,3.15
AXGN,"Axogen, Inc. - Common Stock",44.69,95.9,-0.6,40.92,34.73,30.69,44.95,9.79
SITM,SiTime Corporation - Common Stock,706.9,95.9,-21.6,658.78,457.98,415.6,901.48,190.16
SPHR,Sphere Entertainment Co. Class A Common Stock,158.2,95.8,0.0,138.55,112.93,100.57,158.2,38.7
BWEN,"Broadwind, Inc. - Common Stock",4.85,95.8,-3.8,3.36,2.96,2.77,5.04,1.79
BOLD,"Boundless Bio, Inc. - Common Stock",2.6,95.8,0.0,1.5,1.28,1.27,2.6,1.01
HPE,Hewlett Packard Enterprise Company Common Stock,48.92,95.8,-12.6,36.66,27.15,26.32,55.99,17.45
XMAX,"XMAX, Inc. - Common Stock",8.6,95.7,-0.3,8.07,6.78,6.42,8.63,1.36
ONTO,Onto Innovation Inc. Common Stock,315.88,95.6,-9.2,284.26,220.65,197.76,347.87,90.0
FIX,"Comfort Systems USA, Inc. Common Stock",1908.07,95.6,-7.7,1846.62,1403.84,1265.31,2066.51,501.85
MTSI,"MACOM Technology Solutions Holdings, Inc. - Common Stock",372.15,95.6,-9.2,339.8,252.32,223.88,409.68,118.35
MYRG,"MYR Group, Inc. - Common Stock",468.0,95.6,-3.1,418.73,306.3,280.64,483.08,173.33
CVV,CVD Equipment Corporation - Common Stock,7.1,95.5,-11.8,6.26,4.69,4.39,8.05,2.77
FBYD,"Falcon's Beyond Global, Inc. - Class A Common Stock",17.88,95.5,-14.1,14.26,11.6,11.6,20.8,3.9
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",48.6,95.5,0.0,41.82,31.27,28.5,48.6,15.14
VSTS,Vestis Corporation Common Stock,13.2,95.4,-0.8,11.28,8.51,7.58,13.31,4.06
SNEX,StoneX Group Inc. - Common Stock,137.94,95.3,-0.8,114.4,86.29,80.72,139.01,54.63
ATRO,Astronics Corporation - Common Stock,82.7,95.2,0.0,65.33,56.91,51.82,82.7,23.95
TXG,"10x Genomics, Inc. - Common Stock",31.87,95.2,-8.3,25.7,21.37,19.29,34.76,10.79
GLBS,Globus Maritime Limited - Common Stock,3.06,95.1,0.0,2.18,1.87,1.69,3.06,1.0
NESR,National Energy Services Reunited Corp - Ordinary Shares,25.07,95.1,-6.6,24.74,20.88,18.45,26.84,5.72
ON,ON Semiconductor Corporation - Common Stock,117.06,95.1,-12.6,107.83,75.68,69.27,133.93,44.9
XMTR,"Xometry, Inc. - Class A Common Stock",91.77,95.0,-3.7,73.33,60.71,58.79,95.32,30.97
KLAC,KLA Corporation  - Common Stock,244.49,95.0,-9.2,196.96,158.06,145.83,269.16,84.03
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,9.8,95.0,-12.3,9.15,7.19,6.39,11.18,2.9
ACLS,"Axcelis Technologies, Inc. - Common Stock",171.06,95.0,-10.7,152.03,109.19,103.58,191.6,66.53
MEC,"Mayville Engineering Company, Inc. Common Stock",34.16,94.9,-4.3,26.84,21.38,19.75,35.68,12.56
BTSG,"BrightSpring Health Services, Inc. - Common Stock",66.84,94.9,-0.5,55.75,44.63,40.95,67.2,19.36
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",4.92,94.8,-3.3,4.47,3.67,3.27,5.09,1.39
CECO,CECO Environmental Corp. - Common Stock,96.67,94.8,-3.0,80.1,67.68,63.34,99.67,28.31
SANM,Sanmina Corporation - Common Stock,247.04,94.8,-12.6,228.05,175.25,164.36,282.72,91.71
