Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,115,272,-1.9,"ADPT, SAIH, SAFT, SDGR, MPU"
Financial Services,48,189,-2.3,"CAPN, SVCC, CHAR, JACS, CCAQ"
Healthcare,12,37,-2.4,"PNTG, MNOV, MCTA, RVTY, TTRX"
Technology,8,16,-1.5,"CNXN, KARO, DHX, OST, RAMP"
Industrials,6,20,-2.6,"GIC, ETS, ECO, ATKR, DAC"
Energy,5,10,-2.0,"NAT, LPG, INSW, DK, PSX"
Consumer Cyclical,5,9,-1.3,"VNCE, HZO, GBTG, JRSH, JILL"
Communication Services,2,10,-2.8,"DV, ZD, IDT, NWSA, ROKU"
Utilities,2,6,-2.3,"GNE, TXNM, WTRG, AWK, AWR"
Real Estate,1,3,-2.3,"LXP, PSTL, IHS"
Consumer Defensive,0,3,-3.7,"ACU, KO, SPB"
Basic Materials,0,1,-3.1,GGB
