Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,100,308,-2.2,"UYSC, THRM, WTG, SPEG, SSEA"
Financial Services,68,264,-2.3,"TAVI, TRST, TRV, STBA, SVCC"
Industrials,15,39,-2.1,"SB, DAC, ECO, CSX, GD"
Healthcare,13,36,-2.0,"NVCR, LQDA, IKT, OGN, FTRE"
Energy,4,19,-2.7,"TRGP, INSW, TRP, NAT, EOG"
Real Estate,4,45,-2.6,"WELL, EPR, LXP, FRT, KIM"
Utilities,3,21,-2.5,"OGE, NJR, EIX, NWE, BKH"
Communication Services,2,7,-2.1,"RSVR, EA, SCHL, ROKU, MSGS"
Consumer Cyclical,2,23,-2.9,"TMHC, PAG, GBTG, BZH, CZR"
Technology,2,12,-2.4,"NVEC, RAMP, NATL, CNXN, SLAB"
Consumer Defensive,1,8,-3.6,"ACU, SPB, FMX, KO, PFGC"
Basic Materials,1,4,-2.4,"CTVA, GGB, KOP, RS"
