Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,153,371,-2.0,"ADPT, XYZ, AAPL, ABEO, UBS"
Financial Services,142,316,-1.5,"AACB, ALRS, STT, PLBC, SBFG"
Healthcare,18,45,-1.9,"TDOC, PBYI, ELVN, MRVI, AGL"
Real Estate,18,54,-1.8,"TRNO, STAG, NLY, NREF, FR"
Industrials,14,40,-2.1,"NSC, CYRX, XMTR, HXL, GTLS"
Consumer Cyclical,9,28,-2.4,"CROX, BZH, ETSY, PAG, TMHC"
Technology,7,20,-2.5,"ACIW, FLYW, DHX, RAMP, SLAB"
Communication Services,3,14,-2.6,"EA, ROKU, QNST, SCHL, BATRA"
Consumer Defensive,3,12,-2.9,"SPB, MNST, GHC, TGT, KO"
Utilities,2,18,-3.1,"EIX, AWR, OGE, PNW, NJR"
Basic Materials,1,5,-2.3,"KOP, GGB, CTVA, CX, ODC"
Energy,1,12,-2.5,"WKC, TRGP, INSW, WTTR, TRP"
