Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,136,356,-2.0,"AAPL, ACGL, PRVA, PSNL, QSEA"
Financial Services,110,322,-1.9,"AACB, PFG, BANR, SBFG, SEIC"
Healthcare,17,51,-2.0,"TDOC, PGNY, TOI, AMWL, MOH"
Industrials,14,38,-2.2,"TBI, XMTR, ARMK, NSC, CSTE"
Real Estate,14,53,-2.1,"TRNO, BNL, NREF, FR, FVR"
Utilities,7,20,-1.8,"AWR, NJR, EIX, NWE, BKH"
Communication Services,6,15,-1.8,"QNST, PSO, EA, BATRA, BATRK"
Consumer Cyclical,5,19,-2.1,"RSI, UFI, TMHC, PAG, ETSY"
Energy,5,11,-1.7,"TRGP, PSX, PBF, DK, WKC"
Consumer Defensive,5,17,-2.6,"STRA, KO, GHC, MNST, LAUR"
Technology,5,17,-2.0,"ACIW, SCSC, CNXN, RAMP, SLAB"
Basic Materials,3,4,-1.2,"ODC, KOP, CTVA, LIN"
