Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,170,361,-1.8,"ZGN, XHR, UVE, ANSC, AMLX"
Financial Services,133,283,-1.6,"TRV, SMBK, BOTJ, BFST, PRU"
Real Estate,22,50,-1.7,"SPG, MAC, KIM, HR, HIW"
Consumer Cyclical,16,35,-1.6,"UFI, SON, PII, LEVI, GM"
Industrials,16,47,-2.1,"UHAL, SWK, RTX, KFY, GD"
Healthcare,11,36,-2.2,"APGE, PACS, DYN, ENTX, VYNE"
Consumer Defensive,7,13,-2.0,"FMX, ACU, CCEP, TGT, SPB"
Technology,7,14,-1.4,"CNXN, DBD, SCSC, IMMR, SAIC"
Communication Services,4,15,-2.8,"RSVR, EA, CNK, ROKU, MSGS"
Energy,2,9,-2.8,"WKC, NAT, INSW, PSX, TRP"
Utilities,1,18,-2.8,"NJR, OGE, NWE, SO, BKH"
Basic Materials,0,5,-2.1,"GGB, SXT, CTVA, RS, KOP"
