Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,167,395,-1.7,"ZETA, ABEO, ACAD, VLO, ATNI"
Financial Services,81,274,-2.0,"AACB, ASRV, TY, TRIN, SCHW"
Healthcare,24,56,-1.8,"PACS, OGN, BMRN, BIO, AMWL"
Technology,18,34,-1.8,"AVT, TWLO, NET, GRMN, UEIC"
Industrials,15,55,-2.2,"TBI, SMHI, RTX, MTW, GIC"
Consumer Cyclical,12,37,-2.3,"ABNB, YETI, HZO, HBB, DRI"
Basic Materials,5,12,-1.7,"RS, NUE, MAKO, AVNT, SXT"
Communication Services,5,15,-2.2,"QNST, GSAT, ROKU, CNK, LYV"
Real Estate,4,15,-2.7,"CHMI, LXP, SKYH, EFC, PSA"
Consumer Defensive,2,10,-2.5,"TGT, MNST, CHD, SENEA, KO"
Energy,2,10,-2.8,"PSX, FTK, TDW, SMC, XPRO"
Utilities,0,8,-3.6,"TXNM, NWE, AWR, BKH, WTRG"
