Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,137,370,-2.0,"ADPT, ALOT, ALDF, SAFT, EAT"
Financial Services,100,281,-1.8,"ASRV, ALRS, BPOP, POLE, CAPN"
Healthcare,15,43,-2.2,"AGEN, BFRI, BRKR, RAPP, MBX"
Industrials,10,33,-2.3,"DAC, ECO, SWK, SHIP, SB"
Consumer Cyclical,9,34,-2.5,"ROST, SHOO, NDLS, ESCA, MGA"
Energy,6,11,-1.4,"DK, INSW, PBF, NAT, PSX"
Communication Services,6,16,-1.6,"CNK, EA, MSGS, ROKU, MANU"
Technology,6,16,-2.0,"GRMN, FIVN, NET, RAMP, CNXN"
Consumer Defensive,5,12,-1.8,"CCEP, BUD, KO, GHC, TGT"
Real Estate,4,42,-2.8,"JLL, PDM, EPR, LXP, CUZ"
Basic Materials,1,6,-2.5,"GGB, CTVA, SXT, RS, NUE"
Utilities,0,8,-3.0,"EIX, WTRG, ENIC, NJR, TXNM"
